,smiles_x,Solubility_x,smiles_canon,smiles_y,Solubility_y
22,O=C(OC(C(C(C(C(C(C(=CC(=O)C1)C2)(C1)C)C3)C2SC(=O)C)C4)(C3)C)(C4)C5)C5,-4.28,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,-4.277
23,O=C(C(C(C(C(c(c(cc(O)c1)C2)c1)C3)C2)C4)(C3)C)C4,-3.96,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,-3.955
24,C1C(=O)C=C2CCC3C4CCC(C(=O)COC(=O)C)C4(C)CCC3C2(C)C1,-4.63,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.63
25,O=C(C=C(C(C(C(C(C(C(O)(C)C1)(C2)C)C1)C3)C2)(C4)C)C3)C4,-3.99,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-3.95
26,C1C(=O)C=C2CCC3C4CCC(=O)C4(C)CCC3C2(C)C1,-3.69,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O,-3.695
27,O=C1C=C2CCC3C4CC(OC(=O)C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1,-4.13,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)OC(C)=O,-4.13
28,CC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-4.71,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.708
29,O=C1C=C2CCC3C4CC5OC(C)(C)OC5(C(=O)CO)C4(C)CC(O)C3(F)C2(C)C=C1,-4.32,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,-4.316
30,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.69,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,-3.693
31,CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4.1,CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14,-4.099
32,C1(=O)C=C2CCC3C4CC(C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1,-4.9,CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O,-4.9
33,C1=CC(=O)C=C2CCC3C4CC(C)C(OC(=O)CCCC)(C(=O)CO)C4(C)CC(O)C3(F)C12C,-4.71,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,CCCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO,-4.71
34,O(C(C(O)C(O)C1O)CO)C1Oc(c(ccc2)CO)c2,-0.85,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,OC[C@H]1O[C@@H](Oc2ccccc2CO)[C@H](O)[C@@H](O)[C@@H]1O,-0.855
35,n(cccc1C(N(CC2)C)C2)c1,0.79,CN1CCCC1c1cccnc1,CN1CCC[C@H]1c2cccnc2,0.79
36,COC(=O)C1C(CC2CCC1N2C)OC(=O)c3ccccc3,-2.23,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,COC(=O)[C@H]1[C@H](CC2CCC1N2C)OC(=O)c3ccccc3,-2.227
37,CC(C)(S)C(N)C(O)=O,-0.13,CC(C)(S)C(N)C(=O)O,CC(C)(S)[C@@H](N)C(O)=O,-0.128
38,Oc(ccc(C(=C(c(ccc(O)c1)c1)CC)CC)c2)c2,-4.35,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,CC\C(c1ccc(O)cc1)=C(\CC)c2ccc(O)cc2,-4.35
39,O=C(N(c(c(C1(C(N(C2)CC(C3C4C5OC6)=C6)C3)C2)ccc7)c7)C14)C5,-3.32,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,O=C1C[C@@H]2OCC=C3CN4CC[C@@]56[C@@H]4C[C@@H]3[C@@H]2[C@@H]5N1c7ccccc67,-3.32
40,OC(c(cccc1)c1)C(NC)C,-0.42,CNC(C)C(O)c1ccccc1,CN[C@@H](C)[C@H](O)c1ccccc1,-0.415
41,Oc1cc(O)c2C(=O)CC(c3cc(O)c(O)cc3)Oc2c1,-3.62,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,Oc1cc(O)c2C(=O)C[C@H](Oc2c1)c3ccc(O)c(O)c3,-3.615
42,COc2ccc1cc(ccc1c2)C(C)C(O)=O,-4.16,COc1ccc2cc(C(C)C(=O)O)ccc2c1,O=C(O)[C@@H](C)c1ccc2cc(ccc2c1)OC,-4.5
43,COc1ccc2CC5C3C=CC(O)C4Oc1c2C34CCN5C,-1.52,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,-1.5219999999999998
44,O=C(O)CCC(C(C(C(C(C(C(C(C1)CC(O)C2)(C2)C)C3)C1O)C4)(C3O)C)C4)C,-3.37,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,-3.3680000000000003
45,O=C(O)CCC(C(C(C(C(C(C(C(C1)CC(O)C2)(C2)C)C3)C1)C4)(C3O)C)C4)C,-3.95,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,-3.954
46,C1C(O)CC2CC(O)C3C4CCC(C(C)CCC(=O)O)C4(C)CCC3C2(C)C1,-3.82,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.293
47,C1C(O)CC2CC(O)C3C4CCC(C(C)CCC(=O)O)C4(C)CCC3C2(C)C1,-3.82,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-3.64
48,CC(CCC(O)=O)C3CCC4C2C(O)CC1CC(O)CCC1(C)C2CCC34C,-3.64,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.293
49,CC(CCC(O)=O)C3CCC4C2C(O)CC1CC(O)CCC1(C)C2CCC34C,-3.64,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-3.64
50,CN(C)CCC=C2c1ccccc1COc3ccccc23,-3.4,CN(C)CCC=C1c2ccccc2COc2ccccc21,CN(C)CC\C=C1/c2ccccc2COc3ccccc13,-3.947
51,CC34CCC1C(CCC2=CC(=O)CCC12)C3CCC4(O)C#C,-4.57,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,-4.627
52,CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.79,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C,-4.8041
53,O=C1C=C2C(C)CC3C4CCC(O)(C(=O)CO)C4(C)CC(O)C3C2(C)C=C1,-2.99,CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14,-3.494
54,CN(C)C2C1CC4C(=C(O)C1(O)C(=O)C(=C2O)C(N)=O)C(=O)c3c(O)cccc3C4(C)O,-3.12,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,OC1=C(C(C2=C(O)[C@@](C(C(C(N)=O)=C(O)[C@H]3N(C)C)=O)(O)[C@@]3([H])C[C@]2([H])[C@@]4(O)C)=O)C4=CC=C1,-2.93
55,O=C(OCC)C=Cc(cccc1)c1,-3.0,CCOC(=O)C=Cc1ccccc1,CCOC(=O)\C=C\c1ccccc1,-2.9960000000000004
56,C1C(=O)C=C2C(C)=CC3C4CCC(C(=O)C)(OC(=O)C)C4(C)CCC3C2(C)C1,-5.35,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,-5.284
57,O=C(C(=CCC1C(=C)C)C)C1,-2.06,C=C(C)C1CC=C(C)C(=O)C1,CC(=C)[C@@H]1CC=C(C)C(=O)C1,-2.0608
58,O=C(O)C(N)CCC(=O)N,-0.55,NC(=O)CCC(N)C(=O)O,N[C@@H](CCC(N)=O)C(O)=O,-0.5488
59,OC1C(O)C(O)C(O)C(O)C1,-0.17,OC1CC(O)C(O)C(O)C1O,O[C@@H]1C[C@@H](O)[C@H](O)C(O)[C@H]1O,-0.174
60,O(C(OC(C1O)C(O)CO)C1O2)C2C(Cl)(Cl)Cl,-1.84,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,OCC(O)[C@H]1OC2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,-1.843
61,C1C(C)C(C)CCC1,-4.33,CC1CCCCC1C,C[C@H]1CCCC[C@@H]1C,-4.334
62,C1C(C)C(C)CCC1,-4.33,CC1CCCCC1C,C[C@H]1CCCC[C@H]1C,-4.2719
63,C1C(C)C(C)CCC1,-4.27,CC1CCCCC1C,C[C@H]1CCCC[C@@H]1C,-4.334
64,C1C(C)C(C)CCC1,-4.27,CC1CCCCC1C,C[C@H]1CCCC[C@H]1C,-4.2719
65,O=C(O)C(Oc(c(cc(c1)Cl)Cl)c1)C,-2.45,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,C[C@@H](Oc1ccc(Cl)cc1Cl)C(O)=O,-2.6003
66,O=C(C(Cc1cc(c(c(c1)I)O)I)N)O,-2.86,NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,N[C@@H](Cc1cc(I)c(O)c(I)c1)C(O)=O,-2.8583
67,C1C(N2C)CC(O)C(C(=O)O)C2C1,-0.02,CN1C2CCC1C(C(=O)O)C(O)C2,CN1C2CCC1[C@H]([C@@H](O)C2)C(O)=O,-0.017
68,O=C(ON=C(C(C)(C)C)CSC)NC,-1.62,CNC(=O)ON=C(CSC)C(C)(C)C,CNC(=O)O\N=C(CSC)/C(C)(C)C,-1.62
69,O=C(O)C(Oc(c(cc(c1)Cl)C)c1)C,-2.55,Cc1cc(Cl)ccc1OC(C)C(=O)O,C[C@@H](Oc1ccc(Cl)cc1C)C(O)=O,-2.3972
70,CNC(=O)ON=C1C(C2)C(C#N)CC2C1Cl,-2.08,CNC(=O)ON=C1C(Cl)C2CC(C#N)C1C2,CNC(=O)O\N=C1/[C@@H](Cl)C2C[C@H](C#N)C1C2,-2.0822
71,O(c(ccc(c1)C=CC)c1)C,-3.13,CC=Cc1ccc(OC)cc1,COc1ccc(\C=C\C)cc1,-3.1260000000000003
72,O=C(C(C(C1C2)(C)C)(C2)C)C1,-1.99,CC12CCC(CC1=O)C2(C)C,CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2,-3.1830000000000003
73,O=CC=C(CCC=C(C)C)C,-2.06,CC(C)=CCCC(C)=CC=O,CC(C)=CCC\C(C)=C\C=O,-2.055
74,OC(C(C(C1C2)(C)C)(C2)C)C1,-2.32,CC1(C)C2CCC1(C)C(O)C2,CC1(C)C2CCC1(C)[C@@H](O)C2,-2.319
75,OC(C(CCC1C)C(C)C)C1,-2.53,CC1CCC(C(C)C)C(O)C1,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,-2.5037
76,C1=CC(=O)N2CC(C3)CNCC3C2=C1,0.36,O=c1cccc2n1CC1CNCC2C1,O=C1C=CC=C2[C@@H]3CNC[C@H](C3)CN12,0.363
77,CCNC(=O)C(C)OC(=O)Nc1ccccc1,-1.83,CCNC(=O)C(C)OC(=O)Nc1ccccc1,CCNC(=O)[C@H](C)OC(=O)Nc1ccccc1,-1.829
78,COc2ccc(CC1NCC(O)C1OC(C)=O)cc2,-1.61,COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,COc1ccc(C[C@@H]2NC[C@@H](O)[C@@H]2OC(C)=O)cc1,-1.608
79,O=C(OC(C(C(C=CC1=O)(CC2)C)=C1C)C23)C3C,-3.09,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,C[C@H]1[C@@H]2CC[C@@]3(C)C=CC(=O)C(=C3[C@H]2OC1=O)C,-3.09
80,C1CCN2CC(C3)C4CCCCN4CC3C2C1,-1.89,C1CCN2CC3CC(CN4CCCCC34)C2C1,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1,-1.887
81,O=C(N(CCCC1)C1)C=CC=Cc(ccc(OCO2)c23)c3,-3.46,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,O=C(/C=C/C=C/c1ccc2OCOc2c1)N3CCCCC3,-3.853
82,CN1C2CC(CC1C3OC23)OC(=O)C(CO)c4ccccc4,-0.48,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,CN1[C@@H]2CC(C[C@H]1C3OC23)OC(=O)[C@H](CO)c4ccccc4,-0.504
83,O=C(OC(CC(N(C1C2)C)C2)C1)C(c(cccc3)c3)CO,-1.91,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,-2.0
84,O=C(OC(CC(N(C1C2)C)C2)C1)C(c(cccc3)c3)CO,-1.91,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3,-1.91
85,O=C(OC(CC(N(C1C2)C)C2)C1)C(c(cccc3)c3)CO,-2.12,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,-2.0
86,O=C(OC(CC(N(C1C2)C)C2)C1)C(c(cccc3)c3)CO,-2.12,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3,-1.91
87,c1c(O)cc2CC=C3C4CCC(=O)C4(C)CCC3c2c1,-5.28,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,C[C@]12CC[C@H]3C(=CCc4cc(O)ccc34)[C@@H]1CCC2=O,-5.279
88,c1c(O)cc2CCC3C4CCC(O)C4(C)CCC3c2c1,-4.84,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,-4.8789
89,c1c(O)cc2CCC3C4CCC(O)C4(C)CCC3c2c1,-4.84,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@H]2O,-4.8441
90,OC(c(c(c(nc1)ccc2)c2)c1)C(N(CCC3C4C=C)C4)C3,-3.07,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)c3ccnc4ccccc34,-3.0887
91,c1ccc2Sc3ccc(OC)cc3N(CC(C)CN(C)C)c2c1,-4.22,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1,-4.2155
92,C1C(=O)C=C2CCC3C4CCC(=O)C4(C)CC(=O)C3C2(C)C1,-3.48,CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O,-3.484
93,C1C(O)CC2=CCC3C4CCC(=O)C4(C)CCC3C2(C)C1,-4.12,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,-3.6576
94,C1C(O)CC2CCC3C4CCC(=O)C4(C)CCC3C2(C)C1,-4.4,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CCC4=O,-4.402
95,C1C(O)CC2CCC3C4CCC(=O)C4(C)CCC3C2(C)C1,-4.4,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CCC4=O,-4.158
96,C1C(O)CC2CCC3C4CCC(=O)C4(C)CC(O)C3C2(C)C1,-3.59,CC12CC(O)C3C(CCC4CC(O)CCC43C)C1CCC2=O,CC12CC[C@H](O)CC1CCC3C4CCC(=O)C4(C)CC(O)C23,-3.593
97,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,COC(C)(C)CCCC(C)C\C=C\C(C)=C\C(=O)OC(C)C,-5.346
98,O(c(ccc(nccc1C(O)C(N(CCC2C3C=C)C3)C2)c14)c4)C,-3.37,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,[H]C1(CN2CCC1C[C@@]2([H])[C@H](O)C1=CC=NC2=C1C=C(OC)C=C2)C=C,-2.79
99,O(c(ccc(nccc1C(O)C(N(CCC2C3C=C)C3)C2)c14)c4)C,-3.37,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,-3.365
100,OC(C#C)(C(C(C(C(c(c(cc(O)c1)C2)c1)C3)C2)C4)(C3)C)C4,-4.3,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,-4.419
101,c1ccc2N(C)C3C4CC5C(CC)C(O)N4C(C56)CC3(C6O)c2c1,-2.82,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,CC[C@@H]1[C@@H](O)N2[C@H]3C[C@@H]1C4C(O)[C@@]5(C[C@H]24)[C@H]3N(C)c6ccccc56,-2.824
102,c1c(OC)cc2c(CC(=O)O)c(C)n(C(=O)C=Cc3ccccc3)c2c1,-5.54,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)C=Cc1ccccc1,COC1=CC2=C(C=C1)[N](C(=C2CC(O)=O)C)C(=O)\C=C\C3=CC=CC=C3,-5.54
103,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc3cccc(Oc2ccccc2)c3,-6.29,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2,-6.99
