smiles,LogS
OC1=C(C(O)=C(C([C@@](C(C(C(N)=O)=C(O)[C@H]2N(C)C)=O)(O)[C@@]2([H])[C@H]3O)=O)[C@@]3([H])[C@@]4(O)C)C4=CC=C1,-3.09
c1(nccc2cc(c(OC)cc12)OC)Cc1cc(c(cc1)OC)OC,-3.87
c1ccc(cc1)\N=N\c1c(nc(cc1)N)N,-4.19
CC(C)NCC(O)COc1cccc2ccccc12,-3.49
[H]C1(CN2CCC1C[C@@]2([H])[C@H](O)C1=CC=NC2=C1C=C(OC)C=C2)C=C,-2.79
S(Cc1oc(CN(C)C)cc1)CCN\C(NC)=C\N(=O)=O,-2.5
C1CN(CCN1)c1c(cc2c(n(cc(C(=O)O)c2=O)c2ccc(cc2)F)c1)F,-3.13
C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C2=C(C(=O)C(=CN2C2CC2)C(O)=O)C(N)=C1F,-3.37
C(=O)(O)c1cc(ccc1O)\N=N\c1ccc(cc1)S(=O)(Nc1ccccn1)=O,-6.14
CC1=C(CC(O)=O)c2cc(F)ccc2C\1=C\c1ccc(cc1)S(C)=O,-4.5
C(c1ccc(cc1)NCCCC)(=O)OCCN(C)C,-3.01
OC1=C(C(C2=C(O)[C@@](C(C(C(N)=O)=C(O)[C@H]3N(C)C)=O)(O)[C@@]3([H])C[C@]2([H])[C@@]4(O)C)=O)C4=CC=C1,-2.93
Cc1ccc(cc1)C(=O)c1ccc(CC(=O)O)n1C,-4.09
CC(CN(C)C)CN1c2ccccc2CCc2ccccc12,-4.79
NCCc1c[nH]c2ccccc12,-3.3
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,-3.98
CN=C=S,-1.0
C1OCOCO1,0.29
CC(O)CNCC(C)O,0.81
COC(=O)C(=O)OC,-0.29
NCC(O)=O,0.92
NCCC(O)=O,0.79
CC1=CCC(CC1)C(C)(C)O,-1.91
CC(=C)C1CC=C(C)C(O)C1,-1.72
NCCCCCC(O)=O,0.59
NC(CO)C(O)=O,-0.02
OC(=O)C1CCCN1,0.15
NC(CS)C(O)=O,0.36
OC(=O)/C=C/C(O)=O,-1.22
OC1CNC(C1)C(O)=O,0.44
NC1=N[NH]C=N1,0.52
OC(CC(O)=O)C(O)=O,0.64
CC(C)N(C(C)C)C(=O)SC\C(Cl)=C\Cl,-4.29
CCCCCCCCCCCCCCCC(=O)OC,-7.83
CCC1(CC)C(=O)NCC(C)C1=O,-0.38
CCCCCCCCCCCCCCCCCC(=O)OC,-9.0
CNC(=O)O\N=C(\C)SC,-1.21
CC1(C)C(=O)NC(=O)NC1=O,-1.74
O=C1NC(=O)C2(CC2)C(=O)N1,-1.89
CCCCCCCCCCNC(=O)NC1CCCCC1,-2.81
CCC1=CC=C(O)C=C1,-1.4
CCC1(C)C(=O)NC(=O)NC1=O,-1.23
O=C1NC(=O)C2(CCC2)C(=O)N1,-1.66
CC1=CC(=C(C)C=C1C)C,-3.84
CC1(CC=C)C(=O)NC(=O)NC1=O,-1.16
OC1=CC=CC(=C1)C=O,-1.23
CC1=CC(=C(C)C(=C1)C)O,-2.25
CC1=C(O)C=CC(=C1)Cl,-1.55
OC1=CC(=CC(=C1)O)O,-1.05
CCCC1(CC)C(=O)NC(=O)NC1=O,-1.49
CCC(C)C1=CC=C(O)C=C1,-2.19
CCC1(CC=C)C(=O)NC(=O)NC1=O,-1.61
O=C1NC(=O)C2(CCCCC2)C(=O)N1,-3.06
CCC1(CC)C(=O)NC(=S)NC1=O,-2.28
CC(C)=CCC1(C)C(=O)NC(=O)NC1=O,-2.6
COC1=NN(CS[P](=S)(OC)OC)C(=O)S1,-3.1
OC(=O)C1=CC=C(F)C=C1,-2.07
OC1=CC(=CC=C1)Br,-0.88
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39
OC(=O)C1=C(F)C=CC=C1,-1.39
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.77
CC1=CC=C(C=C1)N=C=S,-4.72
OC(=O)C1=CC(=CC=C1)O,-1.24
OC1=C(Cl)C=CC(=C1)Cl,-1.91
CCCCCC1(CC)C(=O)NC(=O)NC1=O,-2.51
CCNC(=O)NC(=O)C(=N/OC)/C#N,-2.3
CC1=C(C)C(=C(C)C(=C1C)C)C,-5.23
CCCCCOC(=O)CCCNC(=O)NC1CCCCC1,-2.3
CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.25
CCCCCC(O)/C=C/C1C(O)CC(O)C1C\C=C\CCCC(O)=O,-2.33
O=C1NC(=S)NC(=O)C12CCCCC2,-3.46
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,-2.12
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.05
O=C1NC(=O)C2(CCCCCCC2)C(=O)N1,-2.98
CCCCCCCCCCNC(=O)N[C]12C[CH]3[CH2]C([CH2][CH](C3)C1)C2,-5.83
CC/C=C(C)/C1(CC)C(=O)NC(=O)NC1=O,-2.31
[NH]1C=CC2=C1C=CC=C2,-1.21
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.02
CC12CCC3C(CCC4CC(=O)CCC34C)C1CCC2O,-4.74
CNC(=O)O/N=C(SC)/C(=O)N(C)C,0.11
CC(=O)NC1=CC=CC(=C1)O,-1.06
CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.43
COC1=CC(=CC=C1)C(O)=O,-1.93
COC(=O)/C=C/C1=CC=CC=C1,-2.67
COC1=C(Cl)C(=CC=C1)Cl,-3.31
COC1=CC(=CC=C1O)C=O,-1.14
COC1=CC=CC=C1C(O)=O,-1.6
CC(C)C1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.59
[NH]1N=NC2=C1C=CC=C2,-0.77
CC1=CC(=C(C=C1)C(O)=O)O,-2.9
CC1=CC(=C(O)C=C1)C(O)=O,-2.76
ClC1=CC=CC(=C1)N=C=S,-3.95
CO[P](=O)(NC(C)=O)SC,0.54
CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.94
CCCCCCCCCC1=CC=C(O)C=C1,-4.5
CNC(=O)O\N=C\C(C)(C)[S](C)(=O)=O,-1.35
CCC1C(=O)NC(=O)NC1=O,-0.92
NC1=CC(=C(C=C1)C(O)=O)O,-1.96
NC1=CC(=C(O)C=C1)C(O)=O,-2.26
S=C=NC1=CC=CC(=C1)C#N,-3.19
CCCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-4.46
COC(=O)CCCNC(=O)N[C]12C[CH]3[CH2]C([CH2][CH](C3)C1)C2,-2.25
CC(C)OC(=O)NC1=CC=CC=C1,-3.0
CC1=C[NH]C2=C1C=CC=C2,-2.42
CNCC(O)C1=CC(=C(O)C=C1)O,-2.74
OC(=O)C1=CC(=CC=C1O)O,-0.85
CCOC1=C(O)C=CC(=C1)C=O,-1.77
CC(C)=CCC1(C(=O)NC(=O)NC1=O)C(C)(C)C,-3.55
COC1=C(OC)C=C(C=O)C=C1,-1.42
COC1=CC(=C(OC)C=C1)C=O,-2.32
O=C1NC(=O)C2(CCCCCCCCCC2)C(=O)N1,-4.59
CN(C)C1=CC=C(C=C1)N=C=S,-4.13
COC1=CC=CC=C1OCC(O)CO,-0.6
CC1=NC2=C([NH]1)C=CC=C2,-1.96
C1=CC2=C(C=C1)C=NN=C2,-0.42
N#CC(=NNC1=CC=CC=C1)C#N,-3.36
C1=CC2=C(C=C1)N=CC=N2,0.71
CC(C)C1C(=O)NC(=O)NC1=O,-1.46
CCCCCC(O)/C=C/C1C(O)CC(=O)C1CCCCCCC(O)=O,-3.67
OC1=C(F)C(=C(F)C(=C1F)F)F,-0.52
OC(=O)C1=C(Br)C=CC=C1,-2.05
O=C1NC(=O)C2(CCCCCCCCCCC2)C(=O)N1,-5.8
CCCCCC(O)/C=C/C1C(O)CC(=O)C1C\C=C\CCCC(O)=O,-2.47
OC(=O)C1=CC(=CC=C1)C(O)=O,-3.22
OC(=O)C1=C(Cl)C=C(Cl)C=C1,-2.6
CCC1=C(CCCC1)C2(CC)C(=O)NC(=O)NC2=O,-3.53
CCC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,-5.19
CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,-5.26
OC(=O)C1=CC=C(C=C1)N=C=S,-3.98
O=C1NC=NC2=C1N=C[NH]2,-2.28
OC(=O)C1=C(C=NC=C1)C(O)=O,-1.86
NCC(CC(O)=O)C1=CC=C(Cl)C=C1,-1.7
OC(=O)C1=CC(=CC=C1)N=C=S,-3.25
CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,-2.65
NC1=CC2=C(C=CC=C2)C=C1,-2.88
CCCCCOC(=O)CCCNC(=O)N[C]12C[CH]3[CH2]C([CH2][CH](C3)C1)C2,-2.32
COC1=C(OC)C=C(Cl)C(=C1)Cl,-3.46
OCC(O)C1OC(=O)C(=C1O)O,0.28
CN(C)C(=O)NC1=NOC(=C1)C(C)(C)C,-2.43
CC(OC1=CC=C(Cl)C=C1)C(O)=O,-2.13
OC(=O)C1=C(O)C=CC(=C1)Br,-2.65
CNC(=O)OC1=CC(=CC(=C1)C)C(C)C,-3.36
CC1=C(OCCCC(O)=O)C=CC(=C1)Cl,-3.68
OCC1=CC=CC2=C1C=CC=C2,-1.74
COC(=O)C1=CC=C(C=C1)C(=O)OC,-4.01
NC1=CC=C(C=C1)[S](O)(=O)=O,-1.12
IC1=CC=C(C=C1)N=C=S,-4.05
CN(CC1=CC=C(Cl)N=C1)C(C)=NC#N,-1.72
IC1=CC=C(I)C=C1,-5.37
OC(=O)COC1=CC(=C(Cl)C=C1)Cl,-2.68
COC1=C(Cl)C(=C(Cl)C(=C1)Cl)Cl,-5.26
BrC1=CC(=CC(=C1)Br)Br,-5.6
COC1=CC=CC=C1OCC(O)COC(N)=O,-1.53
OC(=O)CC1=CC(=C(OCC=C)C=C1)Cl,-3.13
NNC1=NN=CC2=C1C=CC=C2,-2.6
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,-3.82
COC1=C(OC)C(=C(Cl)C(=C1)Cl)Cl,-4.37
C[S](=O)(=O)OCCCCO[S](C)(=O)=O,-2.27
OC(CCN1CCCC1)(C2CCCCC2)C3=CC=CC=C3,-4.7
CNC(NCCSCC1=C(C)[NH]C=N1)=NC#N,-1.43
CNC(=O)OC1=C2OC(C)(C)CC2=CC=C1,-2.42
CCSC(=O)COC1=C(C)C=C(Cl)C=C1,-5.03
CC(C)(NC(=O)C1=CC(=CC(=C1)Cl)Cl)C#C,-4.23
ClC1=CC2=C(C=C1)C=CC(=C2)Cl,-5.92
OC(CCN1CCCCC1)(C2CCCCC2)C3=CC=CC=C3,-5.2
OC(=O)C1=CC=CC2=CC=CC=C12,-3.3
ClC1=CC2=C(C=CC=C2)C=C1Cl,-5.36
ClC1=CC2=C(C=CC=C2Cl)C=C1,-5.92
ClC1=C(Cl)C2=C(C=CC=C2)C=C1,-6.16
OC1=C(C=CC2=C1C=CC=C2)N=O,-2.54
ClC1=CC=CC2=C1C=CC=C2Cl,-5.7
ClC1=CC=CC2=C1C(=CC=C2)Cl,-5.8
S=C=NC1=CC2=CC=CC=C2C=C1,-4.44
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO,-3.24
O=C1NC2=C(CCC2)C(=O)N1C3CCCCC3,-4.59
CNC(=O)OC1=C2OC(C)(C)OC2=CC=C1,-2.93
OC1=C(Br)C=C(Br)C=C1Br,-3.73
OC(=O)COC1=C(Cl)C(=C(Cl)C=C1)Cl,-3.1
CCC(C)N1C(=O)NC(=C(Br)C1=O)C,-2.5
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,-6.01
CC(C)(C)NCC(O)COC1=CC=CC2=C1CC(O)C(O)C2,-1.01
COC(=O)C[S](=O)(=O)C1=CC=CC=C1,-1.14
CC12CCC3C(CCC4=CC(=CC=C34)O)C1CC(O)C2O,-4.95
COC(=O)C1(CC1)[S](=O)(=O)C2=CC=CC=C2,-2.26
CCOC1=C(OCC)C=C(NC(=O)OC(C)C)C=C1,-4.0
CC(C)NCC(O)COC1=CC=CC2=C1C=C[NH]2,-3.7
CC(OC1=CC(=C(Cl)C=C1Cl)Cl)C(O)=O,-3.58
OC(=O)COC1=CC2=C(C=CC=C2)C=C1,-3.36
NC(CC1=C[NH]C2=C1C=CC=C2)C(O)=O,-1.18
ClC1=C(Cl)C2=C(C(=O)OC2)C(=C1Cl)Cl,-5.04
NC(=S)NC1=CC=CC2=C1C=CC=C2,-2.53
CCC1(C(=O)NC(=O)N(C)C1=O)C2=CC=CC=C2,-3.68
ClC1=CC2=C(C=C1)C=C(Cl)C=C2Cl,-6.55
COC(=O)C1(CC1)[S](=O)(=O)C2=CC=C(C)C=C2,-2.88
ClC1=CC=CC(=C1Cl)C2=CC=CC=C2,-5.35
NC(CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,-3.49
CC1=CC(=CC=C1N)C2=CC(=C(N)C=C2)C,-2.21
NC1=NC2=C(N=C[N]2COCCO)C(=O)N1,-2.12
COC1=CC=C2C3CCC4(C)C(CCC4(O)C#C)C3CCC2=C1,-5.49
NC1=NC(=C(C=C1)N=NC2=CC=CC=C2)N,-4.24
ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,-4.77
OC(C1=CC=CC=C1)C(=O)C2=CC=CC=C2,-2.85
CCOC(=O)C1(CC1)[S](=O)(=O)C2=CC=C(C)C=C2,-3.01
COC(=O)C[S](=O)(=O)C1=CC=C(Cl)C=C1,-2.38
CN1C(=O)N(C)C2=C([NH]C(=N2)Cl)C1=O,-1.51
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(=O)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-5.26
COC(=O)C1(CCCC1)[S](=O)(=O)C2=CC=CC=C2,-2.55
OC(=O)C1=CC=CC=C1NC2=CC=CC=C2,-4.96
ClC1=CC=C(OC2=C(Cl)C=CC=C2)C=C1,-5.52
COC(=O)C1(CC1)[S](=O)(=O)C2=CC=C(Cl)C=C2,-3.31
OCC1CCC(O1)[N]2C=NC3=C2N=CNC3=O,-0.94
CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2,-2.46
CC1=NNC(=O)N(C1)/N=C/C2=CC=CN=C2,-2.87
CC12CC1(C)C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl,-4.8
C1=CC2=C(C=C1)N=C3C=CC=CC3=N2,-3.7
CC(C)OC(=O)C1(CC1)[S](=O)(=O)C2=CC=C(C)C=C2,-3.23
ClC1=C(OC2=CC=CC=C2)C(=CC=C1)Cl,-5.06
O=C(NC1=CN=NS1)NC2=CC=CC=C2,-3.85
C1=CC2=CC=C3C=CC=NC3=C2N=C1,-1.83
CCOC(=O)C1(CCC1)[S](=O)(=O)C2=CC=C(C)C=C2,-2.96
CC1=NC(=NC(=C1)C2CC2)NC3=CC=CC=C3,-4.05
COC(=O)C1(CCCCC1)[S](=O)(=O)C2=CC=CC=C2,-3.85
OCC1OC(CC1O)N2C=C(I)C(=O)NC2=O,-2.25
ClC1=C(Cl)C(=CC=C1)C2=C[NH]C=C2C#N,-4.69
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,-4.61
CCOC(=O)C1=CN=C[N]1C(C)C2=CC=CC=C2,-4.73
CC12CC3=C(ON=C3)C=C1CCC4C2CCC5(C)C4CCC5(O)C#C,-5.51
COC(=O)C1(CCC1)[S](=O)(=O)C2=CC=C(Cl)C=C2,-3.0
NC1=NC2=C(N=C[N]2COC(CO)CO)C(=O)N1,-1.77
CC1N(C)CN2C(=O)C3=C(C=CC=C3)N=C12,0.03
CC(C)OC(=O)C[S](=O)(=O)C1=CC=C(Cl)C=C1,-2.41
CC(C)OC(=O)C1(CCC1)[S](=O)(=O)C2=CC=C(C)C=C2,-3.34
ClC1=CC2=C(C=C(Cl)C=C2Cl)C(=C1)Cl,-7.82
CC(C)OC(=O)C1(CC1)[S](=O)(=O)C2=CC=C(Cl)C=C2,-3.54
ClC1=CC=CC2=C1C=C(Cl)C(=C2Cl)Cl,-7.86
COC(=O)C[S](=O)(=O)C1=CC=C(Br)C=C1,-2.48
ClC1=C(Cl)C(=C(C=C1)C2=CC=CC=C2)Cl,-6.18
ClC1=C(Cl)C2=C(C=CC=C2)C(=C1Cl)Cl,-7.8
N[S](=O)(=O)C1=CC2=C(SCCC2O)S1,-2.59
COC(=O)C1(CCCCC1)[S](=O)(=O)C2=CC=C(C)C=C2,-4.61
COC(=O)C1(CC1)[S](=O)(=O)C2=CC=C(Br)C=C2,-3.67
CC(C)N1C(=O)N(CSC1=NC(C)(C)C)C2=CC=CC=C2,-5.53
ClC1=CC=CC=C1C2=C(Cl)C=CC=C2Cl,-5.9
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-6.8
CC1=NC(=O)C(=C(NCC2=CN=CC=C2)N1)C#N,-2.35
ClC1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1,-6.22
CC(C)(C)OC(=O)C1(CC1)[S](=O)(=O)C2=CC=C(Cl)C=C2,-4.12
NC1=NC=NC2=C1N=C[N]2C3OC(CO)C(O)C3O,-1.73
O=C1CN(CC2N1CCC3=C2C=CC=C3)C(=O)C4CCCCC4,-2.89
CN[P](=O)(OC)OC1=CC=C(C=C1Cl)C(C)(C)C,-3.16
CC(C)OC(=O)C1(CCCC1)[S](=O)(=O)C2=CC=C(C)C=C2,-3.91
COC(=O)C1(CCC1)[S](=O)(=O)C2=CC=C(Br)C=C2,-3.55
COC1=CC(=CC=C1N)C2=CC(=C(N)C=C2)OC,-3.61
CSC(/C)=N/OC(=O)N(C)SN(C)C(=O)O\N=C(/C)SC,-4.01
CCCSC1=CC2=C([NH]C(=N2)NC(=O)OC)C=C1,-4.22
CCCC(C[N]1C=NC=N1)C2=C(Cl)C=C(Cl)C=C2,-3.59
CCCN1CN2C(=O)C3=C(C=CC=C3)N=C2C1C,-2.67
CCCCC(C[N]1C=NC=N1)(C#N)C2=CC=C(Cl)C=C2,-3.31
CN1CCC23C4CCC(=O)C2OC5=C(O)C=CC(=C35)CC14,-2.1
N[S](=O)(=O)C1=CC2=C(SCCC2=O)S1,-3.55
N[S](=O)(=O)C1=CC2=C(S1)C(=O)CCS2,-3.49
N[S](=O)(=O)C1=CC2=C(S1)C(O)CCS2,-2.25
CC(C)OC(=O)C1(CCCCC1)[S](=O)(=O)C2=CC=C(C)C=C2,-4.62
ClC1=NC(=NC(=N1)NC2=CC=CC=C2Cl)Cl,-4.54
NC1=C(C2=CC=CC=C2C=C1)[S](O)(=O)=O,-1.7
N1C2=C(SC3=CC=CC=C13)C=CC=C2,-5.1
CC(C)OC(=O)C1(CCCC1)[S](=O)(=O)C2=CC=C(Cl)C=C2,-4.65
ClC1=CC=C(C=C1)C2=CC(=C(Cl)C(=C2)Cl)Cl,-7.96
ClC1=CC=C(C=C1)C2=C(Cl)C=C(Cl)C(=C2)Cl,-7.77
CO[P](=S)(OC)OC1=C(Cl)C=C(C)C=C1Cl,-5.44
OC(=O)C1=CC(=CC=C1O)C2=C(F)C=C(F)C=C2,-4.61
ClC1=CC(=CC(=C1)C2=CC(=CC(=C2)Cl)Cl)Cl,-8.38
ClC1=CC2=C(OC3=C(O2)C=CC=C3)C=C1,-5.84
COC(=O)C1(CCCC1)[S](=O)(=O)C2=CC=C(Br)C=C2,-4.01
COC(=O)C1=C(Cl)C(=C(C(=C1Cl)Cl)C(=O)OC)Cl,-5.82
ClC1=CC=CC2=C1OC3=C(O2)C=CC=C3,-5.72
ClC1=CC=CC=C1C2=C(Cl)C=C(Cl)C(=C2)Cl,-7.25
ClC1=CC2=C(OC3=C2C=C(Cl)C=C3)C=C1,-7.21
ClC1=C(Cl)C(=C(C=C1)C2=CC=CC=C2Cl)Cl,-6.83
CCCN(CCC)[S](=O)(=O)C1=CC=C(C=C1)C(O)=O,-5.68
ClC1=CC(=C(Cl)C(=C1Cl)C2=CC=CC=C2)Cl,-7.25
COC(=O)C1(CCCCC1)[S](=O)(=O)C2=CC=C(Br)C=C2,-4.48
OC1=C(Br)C(=C(Br)C(=C1Br)Br)Br,-6.6
CC(C)(C)C(O)\C(=C/C1=CC=C(Cl)C=C1)[N]2C=NC=N2,-4.54
CC(C)(C)C(=O)OCC1OC(CC1O)N2C=C(I)C(=O)NC2=O,-3.36
C[S](=O)(=O)C1=CC=C(C=C1)C(O)C(CO)NC(=O)C(Cl)Cl,-2.15
CC(C(O)=O)C1=CC=C(C=C1)C(=O)C2=CC=CS2,-2.0
CN1CCN=C(C2=CC=CC=C2)C3=C1C=CC(=C3)Cl,-4.43
ClC(Cl)(Cl)SN1C(=O)C2=CC=CC=C2C1=O,-5.57
NC(=O)N1C2=C(C=CC=C2)C=CC3=C1C=CC=C3,-3.29
CC(C)OC(=O)C1(CCCCCC1)[S](=O)(=O)C2=CC=C(Cl)C=C2,-5.52
N[S](=O)(=O)C1=CC2=C(S1)[S](=O)CCC2O,-1.35
CCCC(=O)OCC1OC(CC1O)N2C=C(I)C(=O)NC2=O,-2.84
CC(C)C(=O)OCC1OC(CC1O)N2C=C(I)C(=O)NC2=O,-2.76
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,-3.82
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2OC(=O)C5=CC=CC=C5,-4.48
ClC1=CC=C(N[S](=O)(=O)C2=CC=CC=C2)C=C1,-4.03
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2OC(=O)CCC5=CC=CC=C5,-5.27
CCCCNC(=O)[N]1C(=NC2=C1C=CC=C2)NC(=O)OC,-4.86
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2OC(=O)CCCC5=CC=CC=C5,-5.43
CCCCC(=O)OCC1OC(CC1O)N2C=C(I)C(=O)NC2=O,-3.4
ClC1=CC=C(C=C1Cl)C2=CC(=C(Cl)C(=C2)Cl)Cl,-8.39
ClC1=CC=CC=C1N[S](=O)(=O)C2=CC=CC=C2,-4.32
CCN1CCCC1CNC(=O)C2=C(OC)C=CC(=C2)[S](N)(=O)=O,-2.88
CCN1C=C(C(O)=O)C(=O)C2=C1C=C3OCOC3=C2,-4.91
ClC1=CC(=C(C=C1)C2=CC(=C(Cl)C(=C2)Cl)Cl)Cl,-8.55
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2OC(=O)CC5=CC=CC=C5,-4.66
OC(=O)CC1=CC=CC=C1OC2=C(Cl)C=C(Cl)C=C2,-4.86
ClC1=CC=C(C(=C1)Cl)C2=C(Cl)C=C(Cl)C(=C2)Cl,-7.95
ClC1=CC2=C(OC3=C(O2)C=CC(=C3)Cl)C=C1,-7.82
ClC1=CC2=C(OC3=C(O2)C=C(Cl)C=C3)C=C1,-7.18
ClC1=NC=CC=C1N[S](=O)(=O)C2=CC=CC=C2,-3.76
ClC1=CC=CN=C1N[S](=O)(=O)C2=CC=CC=C2,-3.17
COC12C(COC(N)=O)C3=C(N1CC4NC24)C(=O)C(=C(N)C3=O)C,-2.56
ClC1=CC=C(C(=C1)Cl)C2=C(Cl)C(=C(Cl)C=C2)Cl,-7.62
ClC1=CC2=C(OC3=C(O2)C=CC=C3)C=C1Cl,-7.23
ClC1=CC=C(C=C1Cl)C2=C(Cl)C(=CC=C2Cl)Cl,-7.65
COC1=CC2=C(C=CN=C2C=C1)C(O)C3CN4CCC3C(C4)C=C,-3.36
N[S](=O)(=O)C1=CC2=C(S1)[S](=O)(=O)CCC2,-2.68
ClC1=CC=C(Cl)C(=C1)C2=C(Cl)C(=CC(=C2)Cl)Cl,-7.82
COCC(=O)N(N1CCOC1=O)C2=C(C)C=CC=C2C,-1.91
CC(C)(C)C1CCC(CC1)CC2=C(O)C(=O)C3=C(C=CC=C3)C2=O,-7.04
CCC1=N[N](C)C(=C1Cl)C(=O)NCC2=CC=C(C=C2)C(C)(C)C,-5.11
CCC1=CC=C(N[S](=O)(=O)C2=CC=C(N)C=C2)C=C1,-4.52
ClC1=C(Cl)C(=CC=C1)C2=C(Cl)C(=CC=C2Cl)Cl,-6.78
NC1=CC=C(C=C1)[S](=O)(=O)NC2=CC=C(Cl)C=C2,-4.13
CC(OC1=C(Cl)C(=C(Cl)C=C1)C)C(=O)NC2=CC=CC=C2,-7.01
