Entry_ID,InChIKey,SMILES,Solubility,Source,smiles_canon
14,IMMLSOUHQHJKTL-UHFFFAOYSA-N,ClC1=CC=CCC(=C1NC1C(=CC=CC=C1)CC(=O)OCC(=O)NC(C(=O)OC)C)Cl,-1.45272,Data1,COC(=O)C(C)NC(=O)COC(=O)CC1=CC=CC=CC1NC1=C(Cl)CC=CC=C1Cl
15,IMWQMZMZPWIQBE-UHFFFAOYSA-N,O=C(NN=C(C=NNC(=O)N)C)N,-1.948,Data1,CC(C=NNC(N)=O)=NNC(N)=O
16,IZNWACYOILBFEG-UHFFFAOYSA-N,O=[N+]([O-])c1c(C)ccc2c1cccc2,-4.272,Data1,Cc1ccc2ccccc2c1[N+](=O)[O-]
17,JPLCQHHISLYGRA-UHFFFAOYSA-N,O=C(Nc1cnc(OC)cc1)C1CC1,-2.138,Data1,COc1ccc(NC(=O)C2CC2)cn1
18,JTAGHJPZEDNHHA-UHFFFAOYSA-N,O=C(NCCc1cc(OC)c(OC)cc1)CNc1cc(C(=O)NC)ccc1,-1.845,Data1,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1
19,JVPGYYNQTPWXGE-UHFFFAOYSA-N,Cc1ccc(c2sc3c(n2)cccc3)cc1,-4.353,Data1,Cc1ccc(-c2nc3ccccc3s2)cc1
20,JWZZKOKVBUJMES-UHFFFAOYSA-N,OC(CNC(C)C)c1cc(O)c(O)cc1,0.14,Data1,CC(C)NCC(O)c1ccc(O)c(O)c1
21,KZJRKRQSDZGHEC-UHFFFAOYSA-N,FC(F)(F)C(=O)c1ccccc1,-1.155,Data1,O=C(c1ccccc1)C(F)(F)F
22,KZOFCELNVLSKGC-UHFFFAOYSA-N,O=C(NCCc1cc(OC)c(OC)cc1)CNc1cc(C(=O)N)ccc1,-2.686,Data1,COc1ccc(CCNC(=O)CNc2cccc(C(N)=O)c2)cc1OC
23,KZTYYGOKRVBIMI-UHFFFAOYSA-N,S(=O)(=O)(c1ccccc1)c1ccccc1,-3.64378,Data1,O=S(=O)(c1ccccc1)c1ccccc1
24,LQLIEICEYDIWLO-UHFFFAOYSA-N,O=C1C(CC(C)C)OC(O)C(Cc2ccccc2)N1,-2.12,Data1,CC(C)CC1OC(O)C(Cc2ccccc2)NC1=O
25,MORLYCDUFHDZKO-UHFFFAOYSA-N,P(=O)(O)(CCC(=O)O)c1ccccc1,-3.078,Data1,O=C(O)CCP(=O)(O)c1ccccc1
26,MXBNEEHQIDLPLQ-UHFFFAOYSA-N,O=C1N2C(C(=O)Nc3c1cccc3)CCC2,-3.745,Data1,O=C1Nc2ccccc2C(=O)N2CCCC12
27,NOOBQTYVTDBXTL-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2c(n1)ccc(O)c2,-2.503,Data1,NS(=O)(=O)c1nc2ccc(O)cc2s1
28,NXBNYUSXDBHELA-UHFFFAOYSA-N,O=C(C=Cc1ccc(OC)cc1)c1c(O)cccc1,-5.699,Data1,COc1ccc(C=CC(=O)c2ccccc2O)cc1
29,PEQHIRFAKIASBK-UHFFFAOYSA-N,C(c1ccccc1)(c1ccccc1)(c1ccccc1)c1ccccc1,-7.8,Data1,c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
30,QANMHLXAZMSUEX-UHFFFAOYSA-N,N(Cc1occc1)c1ncnc2[nH]cnc12,-3.946,Data1,c1coc(CNc2ncnc3[nH]cnc23)c1
31,QSNYNWOQOIJCFV-UHFFFAOYSA-N,Fc1c(N2CC(NC)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-5.312,Data1,CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1
32,QTSBFJRVBUIZJC-UHFFFAOYSA-N,Ic1cc(Nc2ncnc3c2cc2OC(COC)COc2c3)ccc1,-3.523,Data1,COCC1COc2cc3ncnc(Nc4cccc(I)c4)c3cc2O1
33,QVHJQCGUWFKTSE-YFKPBYRVSA-N,O=C(OC(C)(C)C)N[C@H](C(=O)O)C,-0.74473,Data1,CC(NC(=O)OC(C)(C)C)C(=O)O
34,RFMMMVDNIPUKGG-UHFFFAOYSA-N,O=C(O)C(NC(=O)C)CCC(=O)O,-0.711,Data1,CC(=O)NC(CCC(=O)O)C(=O)O
35,RXKNNAKAVAHBNK-UHFFFAOYSA-N,O=[N+]([O-])c1cc[n+]([O-])cc1,-0.68825,Data1,O=[N+]([O-])c1cc[n+]([O-])cc1
36,SGMHGVVTMOGJMX-UHFFFAOYSA-N,SCC(=O)Nc1cc2c(cc1)cccc2,-3.337,Data1,O=C(CS)Nc1ccc2ccccc2c1
37,SNWQKAWITMVCQW-UHFFFAOYSA-N,S(=O)(=O)(NC(=O)C)c1ccc(NC(=O)c2c(C(=O)O)cccc2)cc1,-2.517,Data1,CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1
38,UAYYWDWWESZIPA-UHFFFAOYSA-N,Fc1c(N2CC(N)(C)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,-5.616,Data1,CC1(N)CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1
39,UDUNORRTIFRHKX-UHFFFAOYSA-N,ClC1=C(NC2C=C(CC(=O)OCC(=O)NC(C(=O)OC)C(C)C)C=CC=C2)C(Cl)C=CC=C1,-1.59908,Data1,COC(=O)C(NC(=O)COC(=O)CC1=CC(NC2=C(Cl)C=CC=CC2Cl)C=CC=C1)C(C)C
40,UFQCLRMJHOWNLX-UHFFFAOYSA-N,Brc1cc(Nc2ncnc3c2cc2OC(COC)COc2c3)ccc1,-3.222,Data1,COCC1COc2cc3ncnc(Nc4cccc(Br)c4)c3cc2O1
41,VHZXNQKVFDBFIK-NBBHSKLNSA-N,F[C@H]1C(=O)[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C(=CC3)CCCC4)CC2)C1,-6.79588,Data1,CC12CCC3C(CC=C4CCCCC43C)C1CC(F)C2=O
42,WXMYDHQMJVPNTD-UHFFFAOYSA-N,Fc1c(N2CC(N)(C)C2)c(F)c2n(C3CC3)cc(C(=O)O)c(=O)c2c1N,-4.376,Data1,CC1(N)CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1
43,WZWYJBNHTWCXIM-JLHYYAGUSA-N,O=S1(=O)N(C)/C(=C(/O)\Nc2ncccc2)/C(=O)c2sccc12,-3.78351,Data1,CN1C(=C(O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O
44,XDLPWPNVUPKKSN-UHFFFAOYSA-N,Fc1c(N2CC(NC)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,-5.405,Data1,CNC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1
45,XSKQKDTZQNFCCB-UHFFFAOYSA-N,O=[N+]([O-])c1c(CO)cc2OCOc2c1,-3.064,Data1,O=[N+]([O-])c1cc2c(cc1CO)OCO2
46,YBPAYPRLUDCSEY-UHFFFAOYSA-N,O=C(N)Cc1ccc(O)cc1,-2.38601,Data1,NC(=O)Cc1ccc(O)cc1
47,YIKYNHJUKRTCJL-UHFFFAOYSA-N,O=c1c(O)c(CC)occ1,-0.89378,Data1,CCc1occc(=O)c1O
48,YKGCCFHSXQHWIG-UHFFFAOYSA-N,O=c1cc2sc3c(nc2cc1)cccc3,-3.716,Data1,O=c1ccc2nc3ccccc3sc-2c1
49,YOJAHJGBFDPSDI-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(C(=O)OC)cc1,-3.035,Data1,COC(=O)c1ccc([N+](=O)[O-])cc1
50,YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=c1c2c(sc3c1cccc3)cccc2,-5.54,Data1,O=c1c2ccccc2sc2ccccc12
51,YZVWKHVRBDQPMQ-UHFFFAOYSA-N,Nc1c2c3c4c(cc2)cccc4ccc3cc1,-0.61272,Data1,Nc1ccc2ccc3cccc4ccc1c2c34
52,ZAFYATHCZYHLPB-UHFFFAOYSA-N,O=C(N(C)C)Cc1c(c2ccc(C)cc2)nc2n1cc(C)cc2,-1.297,Data1,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
53,ZCINFQNVNLHJOV-UHFFFAOYSA-N,O=[N+]([O-])C1=C(OCC)C(=O)N(C(C)C)C1,-4.331,Data1,CCOC1=C([N+](=O)[O-])CN(C(C)C)C1=O
54,ZYJPUMXJBDHSIF-NSHDSACASA-N,O=C(OC(C)(C)C)N[C@H](C(=O)O)Cc1ccccc1,-2.1549,Data1,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)O
55,OKIRBHVFJGXOIS-UHFFFAOYSA-N,CC(C)C1=CC=CC=C1C(C)C,-6.352932503,Data2,CC(C)c1ccccc1C(C)C
56,QEPTXDCPBXMWJC-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=C(C(=C2Cl)Cl)Cl,-6.551656398,Data2,Clc1cc2ccccc2c(Cl)c1Cl
57,MUPPEBVXFKNMCI-QMMMGPOBSA-N,CCCC[C@H](C)CCO,-2.208375999,Data2,CCCCC(C)CCO
58,PMPBFICDXLLSRM-UHFFFAOYSA-N,CC(C)C1=CC=CC2=CC=CC=C21,-5.49074994,Data2,CC(C)c1cccc2ccccc12
59,WOFPPJOZXUTRAU-QMMMGPOBSA-N,CCCC[C@H](CCC)O,-2.03192567,Data2,CCCCC(O)CCC
60,GYVGXEWAOAAJEU-UHFFFAOYSA-N,CC1=CC=C(C=C1)N(C)C,-2.318095456,Data2,Cc1ccc(N(C)C)cc1
61,UNBMPKNTYKDYCG-UHFFFAOYSA-N,CC(C)CC(C)N,-4.107510505,Data2,CC(C)CC(C)N
62,ALTFLAPROMVXNX-UHFFFAOYSA-N,CC1COC(O1)(C)C,-0.019733625,Data2,CC1COC(C)(C)O1
63,AWDLBZUXUNIODN-UHFFFAOYSA-N,CC(=C)C(C)(C)O,-0.306089117,Data2,C=C(C)C(C)(C)O
64,SIJBDWPVNAYVGY-UHFFFAOYSA-N,CC1(OCCO1)C,0.513290902,Data2,CC1(C)OCCO1
65,SVWMDNXXRJCGOY-UHFFFAOYSA-N,CCC1CCC2(O1)CCC(O2)CC,-1.845522455,Data2,CCC1CCC2(CCC(CC)O2)O1
66,DCFDVJPDXYGCOK-UHFFFAOYSA-N,C1CC(CC=C1)C=O,-1.343053923,Data2,O=CC1CC=CCC1
67,ZRVPDCMGGOSDKG-UHFFFAOYSA-N,CC1C(CCC1(C)O)C(C)=C,-2.017963457,Data2,C=C(C)C1CCC(C)(O)C1C
68,ZBLCWYDHYTWUSK-UHFFFAOYSA-N,CC1=CC2=C(C(=CC=C2)O)N=C1C,-1.31899701,Data2,Cc1cc2cccc(O)c2nc1C
69,RUJPNZNXGCHGID-UHFFFAOYSA-N,CC(=C)C1CCC(CC1)(C)O,-1.845802492,Data2,C=C(C)C1CCC(C)(O)CC1
70,GTEXIOINCJRBIO-UHFFFAOYSA-N,CN(C)CCOCCN(C)C,0.795174862,Data2,CN(C)CCOCCN(C)C
71,DSTPUJAJSXTJHM-UHFFFAOYSA-N,CC1=CC(=C(C=C1)O)C(C)C,-1.95661967,Data2,Cc1ccc(O)c(C(C)C)c1
72,UAXOELSVPTZZQG-UHFFFAOYSA-N,CC(=C(C)C(=O)O)C,-0.367279836,Data2,CC(C)=C(C)C(=O)O
73,GQCZPFJGIXHZMB-UHFFFAOYSA-N,CC(COC(C)(C)C)O,0.116814648,Data2,CC(O)COC(C)(C)C
74,RLYSXAZAJUMULG-UHFFFAOYSA-N,CC1CCC(=CC1=O)C(C)C,-1.844072282,Data2,CC(C)C1=CC(=O)C(C)CC1
75,AZAFGYLHYXBSMI-UPHRSURJSA-N,C(=C(/C(=O)O)\Br)\Br,-0.669489986,Data2,O=C(O)C(Br)=CBr
76,GZXSDYYWLZERLF-UHFFFAOYSA-N,CCNC(=O)OCC,0.554506997,Data2,CCNC(=O)OCC
77,DUVJMSPTZMCSTQ-UHFFFAOYSA-N,CCOC1=CC=CC=C1C=O,-2.112154111,Data2,CCOc1ccccc1C=O
78,IYVPXMGWHZBPIR-UHFFFAOYSA-N,CCCOC(=O)CCOCC,-4.0171689,Data2,CCCOC(=O)CCOCC
79,HTKFORQRBXIQHD-UHFFFAOYSA-N,C=CCN=C(N)S,-0.29427936,Data2,C=CCN=C(N)S
80,MDENRACGWNSYCU-JIOCBJNQSA-N,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)[C@H]2N,-1.228579994,Data2,CC1(C)C2CCC1(C)C(O)C2N
81,KWRBXILMRLLABD-UHFFFAOYSA-N,COC1=CC=CC=C1OCC=C,0.784600399,Data2,C=CCOc1ccccc1OC
82,MDHYEMXUFSJLGV-UHFFFAOYSA-N,CC(=O)OCCC1=CC=CC=C1,-2.231756387,Data2,CC(=O)OCCc1ccccc1
83,MFKRHJVUCZRDTF-UHFFFAOYSA-N,CC(C)(CCO)OC,-0.072543986,Data2,COC(C)(C)CCO
84,BAWUFGWWCWMUNU-UHFFFAOYSA-N,CCCCCCN1CCCC1=O,-1.101475196,Data2,CCCCCCN1CCCC1=O
85,CSRFYVKSQFVNST-UHFFFAOYSA-N,CCCOC(=O)C(C)(C)O,-0.164917666,Data2,CCCOC(=O)C(C)(C)O
86,WZZLDXDUQPOXNW-UHFFFAOYSA-N,CCCOC(=O)NCCCN(C)C,0.679461387,Data2,CCCOC(=O)NCCCN(C)C
87,MUGORNQRYUKUGN-UHFFFAOYSA-N,CC(C)C1=CC=C(C=C1)CCO,-2.261262869,Data2,CC(C)c1ccc(CCO)cc1
88,TWEQNZZOOFKOER-UHFFFAOYSA-N,COC(=O)C1=C(C=CS1)N,-1.895394918,Data2,COC(=O)c1sccc1N
89,HZMVPSHLMIQQNX-UHFFFAOYSA-N,CCCC(C)OC(=O)N,-1.225773024,Data2,CCCC(C)OC(N)=O
90,KZBOXYKTSUUBTO-UHFFFAOYSA-N,CC1=C(C=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],-2.919961217,Data2,Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-]
91,WHVOFFPTHILKQP-UHFFFAOYSA-N,C#CC#CC=C=CCCO,-1.890651109,Data2,C#CC#CC=C=CCCO
92,SJTVAYOMOLUGTG-UHFFFAOYSA-N,CC(C)C1C2=CC=CC=C2C(=O)O1,-2.256605379,Data2,CC(C)C1OC(=O)c2ccccc21
93,OWWVHQUOYSPNNE-UHFFFAOYSA-N,CCOC1CCC(CC1)C(=O)OCCN(CC)CC,-2.714545858,Data2,CCOC1CCC(C(=O)OCCN(CC)CC)CC1
94,HYQVJTPIWPMTLK-UHFFFAOYSA-N,CC1(CCC(CC1)(C)O)O,-0.614957447,Data2,CC1(O)CCC(C)(O)CC1
95,YIMQCDZDWXUDCA-UHFFFAOYSA-N,C1CC(CCC1CO)CO,0.804762336,Data2,OCC1CCC(CO)CC1
96,MXZJHUFPDPEROD-UHFFFAOYSA-N,CCC(CCC(C)C)C(=O)N,-2.351520231,Data2,CCC(CCC(C)C)C(N)=O
97,FSPTUZZVVXTEON-UHFFFAOYSA-N,CC1(CC(C(N1)(C)C)C(=O)O)C,0.465364785,Data2,CC1(C)CC(C(=O)O)C(C)(C)N1
98,HWYMVIVIHYHBMA-UHFFFAOYSA-N,CCCOC(=O)C(C)OC(C)=O,-0.640075255,Data2,CCCOC(=O)C(C)OC(C)=O
99,RTYZKRMNFGEBAR-UHFFFAOYSA-N,CCC1=C(C(=NC(=N1)CC)N)C,-2.354792326,Data2,CCc1nc(N)c(C)c(CC)n1
100,EHHECCRMUOFLV-UHFFFAOYSA-N,CCCCCOC(=O)C(C)(C)O,-1.241147862,Data2,CCCCCOC(=O)C(C)(C)O
101,GPNISLPZDBITJJ-UHFFFAOYSA-N,COCC=CC(#N),-0.26632293,Data2,COCC=CC#N
102,NBKWXLWDPCYIHD-UHFFFAOYSA-N,C1C(C=CC2=CC=CC=C21)C(=O)O,-2.477620157,Data2,O=C(O)C1C=Cc2ccccc2C1
103,SXRSQZLOMIGNAQ-UHFFFAOYSA-N,C(CC=O)CC=O,0.999479159,Data2,O=CCCCC=O
104,CUZKCNWZBXLAJX-UHFFFAOYSA-N,C1=CC=C(C=C1)COCCO,-0.705264862,Data2,OCCOCc1ccccc1
105,NEQDNPLLVJBQNJ-UHFFFAOYSA-N,CCCCCN1C(=O)CCC1=O,-1.104625713,Data2,CCCCCN1C(=O)CCC1=O
106,IPZCJUOJSODZNK-UHFFFAOYSA-N,CNC(=O)C(=O)NC,0.54787683,Data2,CNC(=O)C(=O)NC
107,WHFKYDMBUMLWDA-UHFFFAOYSA-N,CC(=O)OCCOC1=CC=CC=C1,-1.977025286,Data2,CC(=O)OCCOc1ccccc1
108,UTNKPINVMZDAHQ-UHFFFAOYSA-N,CC(C)OC(=O)C(C)(C)O,0.011173593,Data2,CC(C)OC(=O)C(C)(C)O
109,JINURNSPHNUGPC-UHFFFAOYSA-N,CCC(O)(CC)C(O)CC(C)C,-1.597819793,Data2,CCC(O)(CC)C(O)CC(C)C
110,YIKQQGWDQHQECY-UHFFFAOYSA-N,CC1=C(CCCC1)C(=O)O,-2.283363196,Data2,CC1=C(C(=O)O)CCCC1
111,BYBMSKRHDCEKRL-UHFFFAOYSA-N,CC1(CO)C2CCC1C(=O)C2,-0.28502255,Data2,CC1(CO)C2CCC1C(=O)C2
112,ZMEVDFFLOPFGCR-UHFFFAOYSA-N,CC1=CSC(=O)N1,-0.659863402,Data2,Cc1csc(=O)[nH]1
113,HXIHISRWARGVBG-UHFFFAOYSA-N,CCOC(=O)C1=COC(=O)C=C1,-0.997810167,Data2,CCOC(=O)c1ccc(=O)oc1
114,GOJDSMIXPMMHPO-UHFFFAOYSA-N,CCC(=O)NC(=O)CC,-1.713188028,Data2,CCC(=O)NC(=O)CC
115,XCRPPAPDRUBKRJ-UHFFFAOYSA-N,C1=CC2=C(C=C(C=C2)O)N=C1,-2.503835563,Data2,Oc1ccc2cccnc2c1
116,FOTKYAAJKYLFFN-UHFFFAOYSA-N,C(CCCCCO)CCCCO,-2.095144434,Data2,OCCCCCCCCCCO
117,QNLTWNKEBOCLPE-UHFFFAOYSA-N,C1=CC=C(C(=C1)NC(=O)CC#N)Cl,-2.297961393,Data2,N#CCC(=O)Nc1ccccc1Cl
118,LXVSANCQXSSLPA-UHFFFAOYSA-N,CCC(O)(CC)C(O)=O,-0.706126682,Data2,CCC(O)(CC)C(=O)O
119,NZFKDDMHHUEVPI-UHFFFAOYSA-N,C1=CC(=C2C(=C1)SC=N2)O,0.764988331,Data2,Oc1cccc2scnc12
120,OBCSAIDCZQSFQH-UHFFFAOYSA-N,CC1=C(C=CC(=C1)N)N,-0.086964574,Data2,Cc1cc(N)ccc1N
121,ASAHZDPKCCONIV-UHFFFAOYSA-N,CC(C)CCC(C)C(=O)O,-1.982934232,Data2,CC(C)CCC(C)C(=O)O
122,AWZKNOIBAIKXRQ-UHFFFAOYSA-N,CC(C)CC(C)OCC(O)CO,-1.250080111,Data2,CC(C)CC(C)OCC(O)CO
123,ANLQHFYDQPMDJY-UHFFFAOYSA-N,C1CCN(CC1)C(=O)CC#N,-0.915242924,Data2,N#CCC(=O)N1CCCCC1
124,AJPXTSMULZANCB-UHFFFAOYSA-N,C1=CC(=C(C=C1O)Cl)O,0.805153561,Data2,Oc1ccc(O)c(Cl)c1
125,RRDPWAPIJGSANI-UHFFFAOYSA-N,C1CCC(CC1)C(C(=O)O)O,-1.354108439,Data2,O=C(O)C(O)C1CCCCC1
126,KDPXOGYCOOUWOS-UHFFFAOYSA-N,CCCCCCOC(=O)C(C)O,-1.137344141,Data2,CCCCCCOC(=O)C(C)O
127,ATWLCPHWYPSRBQ-UHFFFAOYSA-N,CC(=O)CC(=O)NC,-0.805916,Data2,CNC(=O)CC(C)=O
128,IWHOHYOMWRLKGY-UHFFFAOYSA-N,CC1CCCCC1(C(=O)O)O,-0.898176483,Data2,CC1CCCCC1(O)C(=O)O
129,XVCBVZJUNHNVMW-UHFFFAOYSA-N,CCC(C(=O)O)C(C)(C)C(=O)O,-0.672846427,Data2,CCC(C(=O)O)C(C)(C)C(=O)O
130,VPBZMCXPCDAAFX-UHFFFAOYSA-N,CCC(CC)(C(=O)NC)C(=O)NC,0.030910397,Data2,CCC(CC)(C(=O)NC)C(=O)NC
131,MLEXVRSHDCOQPM-UHFFFAOYSA-N,CCCCC(CC)(C(=O)O)C(=O)O,-0.797567588,Data2,CCCCC(CC)(C(=O)O)C(=O)O
132,FZLOTQMQISYYEK-UHFFFAOYSA-N,CC1=CC(=C(C=C1O)C(=O)O)O,-2.362374012,Data2,Cc1cc(O)c(C(=O)O)cc1O
133,FAYFWMOSHFCQPG-UHFFFAOYSA-N,CC1=CCS(=O)(=O)C1,-3.226296091,Data2,CC1=CCS(=O)(=O)C1
134,WVCGTXBZDLZEDU-YFKPBYRVSA-N,CC(C)(C)[C@H](C(=O)O)NC=O,-1.900885787,Data2,CC(C)(C)C(NC=O)C(=O)O
135,OJLBQZJKORZRDZ-UHFFFAOYSA-N,CC(C)C(C(C)(C)C(=O)O)O,-0.897193583,Data2,CC(C)C(O)C(C)(C)C(=O)O
136,ZENOXNGFMSCLLL-UHFFFAOYSA-N,COC1=C(C=CC(=C1)CO)O,-1.886969877,Data2,COc1cc(CO)ccc1O
137,KFTYNYHJHKCRKU-UHFFFAOYSA-N,CC(=O)NC1=CC(=CC=C1)[N+](=O)[O-],0.706710962,Data2,CC(=O)Nc1cccc([N+](=O)[O-])c1
138,GFYRDQXZVIHUKQ-UHFFFAOYSA-N,C1=CC=C(C=C1)CN(CC2=CC=CC=C2)C(CO)CO,-1.12179197,Data2,OCC(CO)N(Cc1ccccc1)Cc1ccccc1
139,HQEMUQNZGCZHHN-UHFFFAOYSA-N,C1=CC(=CC(=C1)[N+](=O)[O-])N=C(N)S,-1.449830893,Data2,NC(S)=Nc1cccc([N+](=O)[O-])c1
140,JZBMVRBRZUZZCT-UHFFFAOYSA-N,CCCCC1NC(=O)NC1(=O),-1.494683221,Data2,CCCCC1NC(=O)NC1=O
141,FGSBMPLRSMYGCV-UHFFFAOYSA-N,CCCCC(=O)CC(=O)C(=O)O,-0.957229103,Data2,CCCCC(=O)CC(=O)C(=O)O
142,AFZTYHRVDOKRKV-UHFFFAOYSA-N,CC(=O)C1=CC(=CC=C1)NC(=O)C,-1.623151267,Data2,CC(=O)Nc1cccc(C(C)=O)c1
143,CTZCDPNOAJATOH-UHFFFAOYSA-N,C1C=CCC(=C1C(=O)O)C(=O)O,-1.00038759,Data2,O=C(O)C1=C(C(=O)O)CC=CC1
144,UNNNRTAKJYMLEC-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(OC2=O)C(=O)N,-2.134422319,Data2,NC(=O)C1OC(=O)c2ccccc21
145,LHGGZFWXQZSSEK-UHFFFAOYSA-N,CN1CC2=CC=CC=C2S1(=O)=O,-1.411738233,Data2,CN1Cc2ccccc2S1(=O)=O
146,MWBXCWLRASBZFB-UHFFFAOYSA-N,CC1=CC(=C(C=C1)CC(=O)O)C,-2.389324798,Data2,Cc1ccc(CC(=O)O)c(C)c1
147,BOSPLJJRCJCRHX-UHFFFAOYSA-N,CC(C)CC(=O)C(C#N)C(=O)OC,-2.72513008,Data2,COC(=O)C(C#N)C(=O)CC(C)C
148,WECHHDJTILFYQT-UHFFFAOYSA-N,CC(=O)C1=CC=C(C=C1)NC(=O)C,-1.623151267,Data2,CC(=O)Nc1ccc(C(C)=O)cc1
149,HUGAWXCWXHSPBW-UHFFFAOYSA-N,C1CC(CCC1CC(C(=O)O)N)O,-0.35332054,Data2,NC(CC1CCC(O)CC1)C(=O)O
150,GWYVTXHULIXIAY-UHFFFAOYSA-N,CCC1C(=O)NC(C(=O)N1)CC,-1.712471132,Data2,CCC1NC(=O)C(CC)NC1=O
151,ACFHHZJOAUZSJU-XBXARRHUSA-N,CC(=O)N/N=C/C1CCC(O1)[N+](=O)[O-],-2.595822371,Data2,CC(=O)NN=CC1CCC([N+](=O)[O-])O1
152,NPEIHQNAMLQBND-UHFFFAOYSA-N,CN1C=NC2=C1CNC(=O)N2C,-1.339765162,Data2,CN1C(=O)NCc2c1ncn2C
153,HYYOPSIKJXWRID-UHFFFAOYSA-N,C1=C(SC(=C1)[N+](=O)[O-])C(=O)NN,-1.971206245,Data2,NNC(=O)c1ccc([N+](=O)[O-])s1
154,BLSVCHHBHKGCSQ-UHFFFAOYSA-N,CC1=CC=CC=C1NC(=O)N,-1.818677253,Data2,Cc1ccccc1NC(N)=O
155,GSPZXGHHFDORDC-UHFFFAOYSA-N,CCC(C(=O)O)N=C(N)N,-0.860816964,Data2,CCC(N=C(N)N)C(=O)O
