,smiles_canon,Solubility,occurence
254,C=C(C)C1CCC(C)(O)C1C,-2.017963457,1.0
290,CN(C)CCOCCN(C)C,0.795174862,1.0
302,Cc1ccc(O)c(C(C)C)c1,-1.95661967,1.0
313,CC(C)=C(C)C(=O)O,-0.367279836,1.0
316,CC(O)COC(C)(C)C,0.116814648,1.0
318,CC(C)C1=CC(=O)C(C)CC1,-1.844072282,1.0
336,CCNC(=O)OCC,0.554506997,1.0
348,CCOc1ccccc1C=O,-2.112154111,1.0
361,CCCOC(=O)CCOCC,-4.0171689,1.0
373,C=CCN=C(N)S,-0.29427936,1.0
374,CC1(C)C2CCC1(C)C(O)C2N,-1.228579994,1.0
378,C=CCOc1ccccc1OC,0.784600399,1.0
389,CC(=O)OCCc1ccccc1,-2.231756387,1.0
400,CCCCCCN1CCCC1=O,-1.101475196,1.0
410,CCCOC(=O)NCCCN(C)C,0.679461387,1.0
421,CC(C)c1ccc(CCO)cc1,-2.261262869,1.0
433,COC(=O)c1sccc1N,-1.895394918,1.0
438,CCCC(C)OC(N)=O,-1.225773024,1.0
445,Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-],-2.919961217,1.0
446,C#CC#CC=C=CCCO,-1.890651109,1.0
457,CCOC1CCC(C(=O)OCCN(CC)CC)CC1,-2.714545858,1.0
459,CC1(O)CCC(C)(O)CC1,-0.614957447,1.0
461,CCC(CCC(C)C)C(N)=O,-2.351520231,1.0
472,CCc1nc(N)c(C)c(CC)n1,-2.354792326,1.0
480,COCC=CC#N,-0.26632293,1.0
492,O=CCCCC=O,0.999479159,1.0
493,OCCOCc1ccccc1,-0.705264862,1.0
502,CCCCCN1C(=O)CCC1=O,-1.104625713,1.0
506,CNC(=O)C(=O)NC,0.54787683,1.0
511,CC(C)OC(=O)C(C)(C)O,0.011173593,1.0
513,CC1=C(C(=O)O)CCCC1,-2.283363196,1.0
515,CC1(CO)C2CCC1C(=O)C2,-0.28502255,1.0
523,CCOC(=O)c1ccc(=O)oc1,-0.997810167,1.0
531,CCC(=O)NC(=O)CC,-1.713188028,1.0
540,Oc1ccc2cccnc2c1,-2.503835563,1.0
542,OCCCCCCCCCCO,-2.095144434,1.0
559,CCC(O)(CC)C(=O)O,-0.706126682,1.0
561,Oc1cccc2scnc12,0.764988331,1.0
568,Cc1cc(N)ccc1N,-0.086964574,1.0
575,CC(C)CCC(C)C(=O)O,-1.982934232,1.0
588,N#CCC(=O)N1CCCCC1,-0.915242924,1.0
590,Oc1ccc(O)c(Cl)c1,0.805153561,1.0
601,CCCCCCOC(=O)C(C)O,-1.137344141,1.0
611,CNC(=O)CC(C)=O,-0.805916,1.0
613,CC1CCCCC1(O)C(=O)O,-0.898176483,1.0
618,CCC(C(=O)O)C(C)(C)C(=O)O,-0.672846427,1.0
630,CCCCC(CC)(C(=O)O)C(=O)O,-0.797567588,1.0
632,Cc1cc(O)c(C(=O)O)cc1O,-2.362374012,1.0
638,CC1=CCS(=O)(=O)C1,-3.226296091,1.0
643,CC(C)C(O)C(C)(C)C(=O)O,-0.897193583,1.0
645,COc1cc(CO)ccc1O,-1.886969877,1.0
649,CC(=O)Nc1cccc([N+](=O)[O-])c1,0.706710962,1.0
658,CCCCC1NC(=O)NC1=O,-1.494683221,1.0
660,CCCCC(=O)CC(=O)C(=O)O,-0.957229103,1.0
662,CC(=O)Nc1cccc(C(C)=O)c1,-1.623151267,1.0
665,O=C(O)C1=C(C(=O)O)CC=CC1,-1.00038759,1.0
666,NC(=O)C1OC(=O)c2ccccc21,-2.134422319,1.0
675,CN1Cc2ccccc2S1(=O)=O,-1.411738233,1.0
685,COC(=O)C(C#N)C(=O)CC(C)C,-2.72513008,1.0
687,CC(=O)Nc1ccc(C(C)=O)cc1,-1.623151267,1.0
689,CCC1NC(=O)C(CC)NC1=O,-1.712471132,1.0
694,CC(=O)NN=CC1CCC([N+](=O)[O-])O1,-2.595822371,1.0
695,CN1C(=O)NCc2c1ncn2C,-1.339765162,1.0
700,NNC(=O)c1ccc([N+](=O)[O-])s1,-1.971206245,1.0
704,Cc1ccccc1NC(N)=O,-1.818677253,1.0
714,CCC1CN(CCC#N)C1C(=O)O,-0.981842441,1.0
717,CC(NCCC#N)C(=O)O,-0.006649379,1.0
722,CNC(=O)CCC(N)=O,-0.813414177,1.0
724,CCC(C)NC(N)=S,-1.13902592,1.0
725,CC1=C(C#N)C(=O)NC(C)(C)C1,-1.753001603,1.0
730,CCC(N)C(=O)NC(CC)C(=O)O,-1.296965237,1.0
731,Cc1cnc(N)[nH]c1=O,-1.495301453,1.0
734,O=C(O)C1=CCCCC1C(=O)O,-1.287883405,1.0
735,CC(C)(C(=O)O)C(C)(C)C(=O)O,-1.559806913,1.0
737,O=C1CC(=O)NC=N1,-1.65162686,1.0
739,Cc1ccc(S(=O)(=O)O)c(N)c1,-2.126201008,1.0
741,C=CCC(CNC)(C(=O)O)C(=O)O,-0.749861611,1.0
742,CC(OC(=S)N(C)C)C(=O)O,-0.947492539,1.0
752,Cc1c(N)cccc1S(=O)(=O)O,-1.739574664,1.0
756,C=CCC(C(=O)O)C(C)C(=O)O,-1.059891444,1.0
757,CC(CCCC(C)C(=O)O)C(=O)O,-0.932266161,1.0
760,Cn1cc(C(=O)O)n(C)c1=O,-0.970797704,1.0
763,NNC(=O)c1cccs1,-0.754898501,1.0
764,CCC(C)=C(CC(=O)O)C(=O)O,-2.332892716,1.0
766,CCOC(=O)CNC(C)=CC(C)=O,-0.586446642,1.0
768,CNc1ccc(S(=O)(=O)O)cc1,0.180989297,1.0
769,NC(N)=NCCCCCC(=O)O,-2.387339686,1.0
774,O=C(O)Cc1cccc(C(=O)O)c1,-1.778537118,1.0
778,O=C(O)Cc1ccc(C(=O)O)cc1,-1.255658373,1.0
779,CC(N=C(N)N)C(=O)O,-0.198637216,1.0
782,CCNC(=O)CCC(N)C(=O)O,0.202996645,1.0
786,O=S(=O)(O)c1cnc[nH]1,0.130357655,1.0
789,Cc1ccnc(C(=O)O)c1C(=O)O,-1.328619413,1.0
790,O=C(O)c1ccccc1S(=O)(=O)O,0.393231812,1.0
794,NC(=O)CCCC(N)=O,-0.263185824,1.0
796,Nc1cccc2ccc(S(=O)(=O)O)cc12,-1.682277378,1.0
800,NC(=O)CCCCC(N)=O,-1.515422222,1.0
801,Cc1cc(N)nc(=O)[nH]1,-1.495301453,1.0
805,O=COCc1ccco1,-0.98347823,1.0
806,NS(=O)(=O)c1ccc(=O)[nH]c1,-1.843058278,1.0
811,CCC(S(=O)(=O)CC)S(=O)(=O)CC,-1.460916864,1.0
817,Nc1nc(=O)n(-c2ccccc2)[nH]1,-2.467805355,1.0
821,O=c1cc[nH]c(O)c1,-1.249834042,1.0
822,ON=C1CCCCCC1=NO,-1.425015124,1.0
823,Nc1ccc(O)c(S(=O)(=O)O)c1,-2.450823375,1.0
826,NC(=O)NCCCCCC(=O)O,-2.161866905,1.0
827,Cc1cnc(=O)[nH]c1N,-0.559542349,1.0
829,CC(C)C(NCCC(=O)O)C(=O)O,-0.896732844,1.0
835,Nc1[nH]c(=O)ncc1CC(=O)O,-1.700616425,1.0
845,CC(C)CNCC(C)C,-1.769007871,1.0
846,CCN(C)CC,1.059632954,1.0
847,CCCCNC,1.059632954,1.0
848,CC(N)C(C)(C)C,0.98608848,1.0
849,CCN(CCO)CCO,0.875528381,1.0
852,NCCCNC1CCCCC1,-1.654312434,1.0
859,O=C1c2cc(S(=O)(=O)O)ccc2C(=O)c2c1cccc2S(=O)(=O)O,0.4338,1.0
860,C1=CCCCCCC1,-3.770336047,1.0
861,O=C(Cl)Cl,-1.136676971,1.0
862,C=C1CCC=C(C)CCC2C1CC2(C)C,-6.610549667,1.0
864,Cc1ccc(I)cc1,-3.958318956,1.0
865,Clc1nc(Cl)nc(Cl)n1,-0.568636585,1.0
866,CC(C)(C)c1cccc(C(C)(C)C)n1,-4.431718034,1.0
867,CC(C)(C)c1ccccn1,-1.744685027,1.0
868,Oc1ccccc1Br,-0.899632125,1.0
871,CCCCCCCCCC=O,-3.555181167,1.0
875,CC(C)(C)c1ccncc1,-1.267623252,1.0
876,CC(C)(C)c1ccnc(C(C)(C)C)c1,-3.74519285,1.0
877,Oc1ccccc1F,-0.473671607,1.0
879,N=C(S)C(=N)S,-2.512874488,1.0
880,O=C1C=CCCC1,-0.424145402,1.0
881,O=[N+]([O-])c1ccc(I)cc1,-3.949055269,1.0
883,CC(C)c1ccc(O)cc1,-1.620540901,1.0
884,CC(C)(C)Cc1ccc(O)cc1,-2.990188164,1.0
885,Cc1ccc(C#N)cc1,-2.510033722,1.0
888,O=C(C(=O)c1ccccc1)c1ccccc1,-4.053185878,1.0
889,Nc1cccc(I)c1,-3.240123144,1.0
890,Oc1ccccc1I,-0.92445619,1.0
891,c1ccc(CNC23OC4C5C6CC(C7C6C4C72)C53)cc1,-3.39852141,1.0
895,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,-3.520631984,1.0
896,O=[N+]([O-])c1ccc(CBr)cc1,-3.698970004,1.0
897,CCOC(=O)C1CCCCC1=O,-2.117036616,1.0
899,CC(=O)c1ccccc1O,-1.301029996,1.0
903,O=C(OO)c1cccc(Cl)c1,-2.147055154,1.0
905,CC1CCC(C)C1C(=O)O,-1.9327854,1.0
908,O=C(O)Cc1ccc2ccccc2c1,-3.026964951,1.0
909,CCCCN(CCCC)P(=O)(N(CCCC)CCCC)N(CCCC)CCCC,-3.857016714,1.0
912,O=C(O)CCOc1ccc(Cl)cc1Cl,-2.82712362,1.0
913,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,-3.885939948,1.0
914,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,-4.699357479,1.0
917,CN(C)c1nc(N)nc(N)n1,-2.108832711,1.0
919,Cc1ccc2cccc(O)c2n1,-1.609067643,1.0
922,Cc1c(O)c(=O)ccn1C,-0.94693266,1.0
924,O=C(NO)C1CCCCC1,-0.793836745,1.0
927,O=c1ccc2ccc(O)cc2o1,-2.416462428,1.0
931,Oc1ccc(-c2ccc(O)cc2)cc1,-3.64675371,1.0
932,CNc1nc(N)nc(N)n1,-1.013047996,1.0
934,CN(O)C(=O)c1ccc([N+](=O)[O-])cc1,-2.869371221,1.0
938,Cc1ccccc1C=CC(=O)O,-3.494015375,1.0
940,Cc1ccc(C=CC(=O)O)cc1,-6.477624959,1.0
942,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2ccccc2)c([N+](=O)[O-])c1,-5.441793649,1.0
948,O=c1[nH]ccc2nccnc12,-1.187079378,1.0
949,CN(C)c1ncc2[nH]cnc2n1,-2.690228018,1.0
952,O=S(=O)(O)CCNC1CCCCC1,-0.301226976,1.0
953,O=C(O)CSC(c1ccccc1)(c1ccccc1)c1ccccc1,-4.301600445,1.0
955,COc1cc(C=CC(=O)O)cc(OC)c1O,-2.83214685,1.0
957,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,-3.220878683,1.0
959,Cn1nnnc1N,-0.717299018,1.0
963,NNC(=O)c1ccc(Cl)cc1,-1.939274932,1.0
964,O=C(O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,-4.493304834,1.0
968,O=c1cnc2[nH]c(=O)[nH]c(=O)c2[nH]1,-3.125235403,1.0
969,O=C(NO)c1ccc([N+](=O)[O-])cc1,-1.939294695,1.0
970,Nc1cnc2c(N)ncnc2n1,-2.908897671,1.0
971,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,-5.301417471,1.0
972,O=C(O)C1CCCC(C(=O)O)C1,-0.887680363,1.0
973,CC(C(=O)O)S(=O)(=O)c1ccccc1,-0.886859818,1.0
976,CC(C)CC(NC(=O)CN)C(=O)O,-0.43332245,1.0
977,CSc1nc2ncncc2[nH]1,-2.033690362,1.0
979,Sc1ncnc2nc[nH]c12,-2.784417571,1.0
980,O=C(O)c1cc(O)cc(O)c1,-0.180462554,1.0
982,Cc1ccc([As](=O)(O)O)cc1,-1.366107503,1.0
984,O=C(O)CCCCCC(C(=O)O)(c1ccccc1)c1ccccc1,-3.496706166,1.0
985,O=C(O)c1ccc(Cl)c(N=Nc2ccc(O)cc2)c1,-4.080248361,1.0
987,O=C(O)COCCOCC(=O)O,0.431358888,1.0
989,O=[As](O)(O)c1ccc2ccccc2c1,-2.810509961,1.0
991,Nc1cnc2c(N)nc(N)nc2n1,-2.902032308,1.0
992,O=[As](O)(O)c1cccc2ccccc12,-2.509479966,1.0
993,CNC1(C)CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-5.861371893,1.0
994,NN(CC(=O)O)CC(=O)O,-1.72345274,1.0
995,CNc1nc2ncncc2[nH]1,-1.826893762,1.0
997,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,-5.327999806,1.0
998,Nc1nc(O)c2ncn(C3C=CC(CO)C3)c2n1,-2.29972691,1.0
999,O=C(O)CCCCC(C(=O)O)(c1ccccc1)c1ccccc1,-3.430204377,1.0
1000,Nc1nc2ncnc(N)c2nc1N,-3.345295296,1.0
1002,O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,-4.670717374,1.0
1003,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,-1.346786848,1.0
1005,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,-3.432973625,1.0
1008,O=C(O)c1ccc(N=Nc2ccc(O)cc2)cc1,-4.379913727,1.0
1009,Cc1cc(O)c(C(C)C)cc1C1(c2cc(C(C)C)c(O)cc2C)OS(=O)(=O)c2ccccc21,-3.627550188,1.0
1010,CC(C1CC1C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-4.928496765,1.0
1011,Nc1cc(=O)[nH]c(=O)[nH]1,-2.327912393,1.0
1012,Nc1nc2ncncc2[nH]1,-2.431775345,1.0
1016,Nc1nc(N)c2nc(N)c(N)nc2n1,-3.397788629,1.0
1017,O=C(O)c1ccc(N=Nc2ccc(O)cc2)cc1Cl,-2.619808118,1.0
1018,O=c1cnc2cnc(=O)[nH]c2[nH]1,-2.361471235,1.0
1020,COc1ccc2nccc(C(O)C3CC4CCN3CC4C(=O)O)c2c1,-2.030736731,1.0
1021,NC(Cc1ccc(O)cc1)C(=O)NCC(=O)O,-1.098266548,1.0
1023,CC(C)C(N)C(=O)NC(C(=O)O)C(C)C,-0.405597435,1.0
1024,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,-1.8745318,1.0
1025,NCC(=O)NC(Cc1ccc(O)cc1)C(=O)O,-0.73258156,1.0
1027,COc1cc(C=CC(=O)C=C(O)C=Cc2ccc(O)c(OC)c2)ccc1O,-5.81811509,1.0
1028,CN1CC(O)C2=CC(=NNC(N)=O)C(=O)C=C21,-2.674365046,1.0
1029,Cc1cccc([As](=O)(O)O)c1,-0.988237478,1.0
1031,O=c1c2ncn(COCCO)c2nc2[nH]ccn12,-2.512861642,1.0
1032,CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,0.007275243,1.0
1033,O=C(O)CNCC1(O)OCC(O)C(O)C1O,0.654250784,1.0
1034,OCCN(CCO)c1nc(N2CCCCC2)nc2c(N(CCO)CCO)nc(N3CCCCC3)nc12,-5.221533019,1.0
1035,CC(C)(C)c1cn2c(=O)c3ncn(COCCO)c3nc2[nH]1,-2.511449265,1.0
1037,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,-5.204119983,1.0
1038,Cc1c[nH]c2ncnc(=O)c-2n1,-1.649295757,1.0
1039,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,-0.544936838,1.0
1040,O=c1c2ncn(COCCO)c2nc2[nH]c(-c3ccc4ccccc4c3)cn12,-3.779892205,1.0
1041,Cc1cnc2c(=O)ncnc-2[nH]1,-1.562145581,1.0
1042,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,-0.754495308,1.0
1043,O=c1c2ncn(COCCO)c2nc2[nH]c(-c3ccccc3)cn12,-3.623416458,1.0
1046,Nc1nc(N)c2[nH]c(N)nc2n1,-1.518926981,1.0
1047,CC(C)CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,-2.070925507,1.0
1048,CC(C)CC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,-1.576770913,1.0
1050,NC(Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(=O)O,-1.470256093,1.0
1051,NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,-0.846563228,1.0
1054,CNC1(C)CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.6931916,1.0
1057,NCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.88562725,1.0
1059,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,-4.919128172,1.0
1060,O=c1c(-c2ccc(O)cc2)coc2c(C3OC(CO)C(O)C(O)C3O)c(O)ccc12,-2.161612136,1.0
1068,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O,-5.705117162,1.0
1069,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)O,-3.596883493,1.0
1103,C1CC1,-2.043150755,1.0
1125,CCOC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,-7.838974955,1.0
1210,FC(F)(F)c1ccc(Cl)cc1,-3.794223548,1.0
1251,CC(C)c1cccc2c(C(C)C)cccc12,-6.285639128,1.0
1274,COC(F)(F)C(Cl)Cl,-0.765618539,1.0
1300,Clc1cc(Cl)c2c(c1)Oc1cc(Cl)c(Cl)cc1O2,-8.963760852,1.0
1460,C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,-8.215865471,1.0
1478,CN(C)CCCCl,-0.198478563,1.0
1480,CCO[Si](CC(C)C)(OCC)OCC,-3.408693434,1.0
1493,CCN=C(S)NCC,-0.498047862,1.0
1503,CCOC(=O)C1(C2CCCCC2)CCN(C)CC1,-1.885438485,1.0
1507,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,-8.371598855,1.0
1537,Sc1nc2ccccc2o1,-2.179494341,1.0
1546,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,-5.154146856,1.0
1571,CC(=O)c1ccc(C)cc1,-2.557144848,1.0
1588,Cc1ccc(C)c(N)c1,-1.335242921,1.0
1604,Nc1ccc(F)cc1,-0.527278293,1.0
1615,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-7.639350161,1.0
1627,CCCCCCCCCCCCOC(=O)C(C)O,-1.407971136,1.0
1630,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-4.291719662,1.0
1636,c1cncc(C2CCCN2)c1,0.829122493,1.0
1649,CC1=CC(=O)c2c(O)cccc2C1=O,-2.797452209,1.0
1665,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,-6.397885775,1.0
1678,CCO[Si](OCC)(OCC)OCC,-2.142660555,1.0
1699,CC(C)(C)NSc1nc2ccccc2s1,-5.900130342,1.0
1701,CN(C)c1ccncc1,-0.206150982,1.0
1703,O=C(O)C(Br)(Br)Br,-0.171346097,1.0
1720,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,-9.406314544,1.0
1736,CC(C)(C#N)c1ccc(Br)cc1,-0.634438513,1.0
1746,O=C(O)C1CCCCC1I,-2.730785778,1.0
1758,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)c1ccccc1,-7.750571314,1.0
1771,CC1CC(=O)O1,-0.750261277,1.0
1787,c1ccc2n[nH]nc2c1,-0.779355952,1.0
1800,O=C(O)C1CCCC(I)C1,-3.270635062,1.0
1802,O=C1CCc2ccccc2O1,-1.693609715,1.0
1820,CN(C)CCc1ccc(O)cc1,-1.373017146,1.0
1836,CC12CCC(C(=O)C1=O)C2(C)C,-1.990234357,1.0
1841,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,-9.737718832,1.0
1851,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)cc1,-8.98963889,1.0
1858,O=C(O)c1cc(Cl)ccc1Cl,-2.377966118,1.0
1871,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,-4.340860276,1.0
1887,O=C1CSC(S)=N1,-1.772256492,1.0
1898,Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],-5.782955003,1.0
1917,NC(S)=Nc1ccccc1,-1.789774764,1.0
1920,COc1ccc(C(=O)c2ccccc2)c(O)c1,-4.790209062,1.0
1926,CCCCOC(=O)CCCCC(=O)OCCCC,-3.868157232,1.0
1932,CC(C)C(=O)OCC(C)(C)C(OC(=O)C(C)C)C(C)C,-4.280912081,1.0
1950,CCCCNC(=O)OCC#CI,-3.255720797,1.0
1969,N=C(N)S,0.245606019,1.0
1974,COC(=O)C1CCC(C(=O)OC)CC1,-1.387207679,1.0
1979,Nc1cccc2c1C(=O)c1ccccc1C2=O,-5.871631305,1.0
1993,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,0.517610567,1.0
1999,O=[N+]([O-])c1cccc2c([N+](=O)[O-])cccc12,-3.575367038,1.0
2009,CC(=O)CC(=O)OC1CCCCC1,-2.903656089,1.0
2011,Cn1ccnc1S,0.243477995,1.0
2015,NCCNc1cccc2ccccc12,-1.969089603,1.0
2044,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,-9.507876621,1.0
2050,O=C1c2ccccc2C(=O)N1SC1CCCCC1,-4.074783206,1.0
2052,OC(C1CCC(Cl)CC1)(C1CNCNC1)C1CCCCC1Cl,-4.373962292,1.0
2076,CCO[Si](CCC1CCC2OC2C1)(OCC)OCC,-2.525587148,1.0
2091,CN(C)C(N)=O,-0.246055197,1.0
2094,Cc1cc(=O)[nH]o1,-0.066610903,1.0
2124,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,-6.502506978,1.0
2144,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,-1.20693961,1.0
2148,COc1ccccc1N=Nc1c(O)ccc2ccccc12,-8.926014871,1.0
2150,COC1CCC2C=CC(=O)OC2C1CC=C(C)C,-4.308724443,1.0
2173,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,-5.951734065,1.0
2180,CCCCCCCCCCCCN=C(N)N,-2.557449911,1.0
2187,O=c1c(Br)cccc(Br)c1O,-3.502551257,1.0
2194,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,-4.872802102,1.0
2206,O=C1CN=C(S)N1c1ccccc1,-3.242451073,1.0
2216,CNC(=O)NC,0.938636234,1.0
2219,[H]c1c([H])c([H])c(C(=O)O)c([H])c1[H],-1.555307879,1.0
2224,CC(=O)CC(=O)C(=O)O,0.29055642,1.0
