,C_ID,Name,InChIKey,SMILES,CAS,LogS
70,C-71,,ITPDYQOUSLNIHG-UHFFFAOYSA-N,CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2.Cl,,-9.578370491
71,C-72,,PPJYSSNKSXAVDB-UHFFFAOYSA-N,OC(=O)Cc1cc(I)c(c(c1)I)Oc1cc(I)c(c(c1)I)O,,-9.508316043
72,C-73,,GUPWKIBOCFKLBR-UHFFFAOYSA-M,CCOc1cc(C[N+]2(CCCCC2)CCOCCC2CCC3CC2C3(C)C)c(cc1OCC)Br.[Br-],,-9.498385828
73,C-74,,QBEFIFWEOSUTKV-UHFFFAOYSA-N,CCCCCC(C(c1cc(O)c2c(c1)OC(C1=C2CC(C)CC1)(C)C)C)C,,-9.471968448
74,C-75,,HFVNWDWLWUCIHC-GUPDPFMOSA-N,ClCCN(c1ccc(cc1)CCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)C=C[C@]12C)CCCl,,-9.468243915
75,C-76,,PJGOWSFDWNQUOK-JTHROIFXSA-N,CCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OC)CCCCCCC.[Cl-],,-9.454721532
76,C-77,,VCZAWDPRDDWJMS-JTHROIFXSA-N,CCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCC)CCCCC.[Cl-],,-9.454721532
77,C-78,,NSMHQGXGMBMVIK-JTHROIFXSA-N,CCCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCC)CCC.[Cl-],,-9.454721532
78,C-79,,GXFHMHYIPXHRDE-JTHROIFXSA-N,CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-],,-9.454721532
79,C-80,,YCOZIPAWZNQLMR-UHFFFAOYSA-N,CCCCCCCCCCCCCCC,,-9.446383877
80,C-81,,KJSWIAZTEMACJB-UHFFFAOYSA-N,CCC(CCC(C[NH2+]C(CCCCC([NH2+]CC(CCC(CC)C)C)C)C)C)C.[Cl-].[Cl-],,-9.42136727
81,C-82,,IGVGULKYVNFIOV-SPIKMXEPSA-N,c1ccc(cc1)C(c1ccccc1)N1CCN(CC1)CC1COC2(O1)c1ccccc1CCc1c2cccc1.OC(=O)/C=C\C(=O)O.OC(=O)/C=C\C(=O)O,,-9.407515023
82,C-83,,HIYAVKIYRIFSCZ-CYEMHPAKSA-N,CNc1ccc2c(c1C(=O)O)nc(o2)C[C@H]1O[C@@]2(CC[C@H]1C)O[C@@H]([C@@H](C[C@H]2C)C)[C@@H](C(=O)c1ccc[nH]1)C,,-9.405368174
83,C-84,,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2,,-9.35875668
84,C-85,,NQERQCNWHNKCSA-UHFFFAOYSA-N,Brc1cccnc1OCCCCCNCCSSCCNCCCCCOc1ncccc1Br.Cl.Cl,,-9.34170213
85,C-86,,RJEKQCDPXXLTSK-UHFFFAOYSA-N,Brc1ccc(nc1)OCCCCCNCCSSCCNCCCCCOc1ccc(cn1)Br.Cl.Cl,,-9.34170213
86,C-87,,VPUGDVKSAQVFFS-UHFFFAOYSA-N,c1cc2ccc3c4c2c2c1ccc1c2c2c4c(cc3)ccc2cc1,,-9.3299999
87,C-88,,WYQWZFORYHRFBW-UHFFFAOYSA-N,Clc1ccc(nc1)OCCCCCCNCCSSCCNCCCCCCOc1ccc(cn1)Cl.Cl.Cl,,-9.321997031
88,C-89,,HSTCMJJFYYQQRG-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C,,-9.267501588
89,C-90,,IWYNVAJACBPVLT-UHFFFAOYSA-N,Nc1cc(C)[n+](c2c1cccc2)CCCCCCCCCC[n+]1c(C)cc(c2c1cccc2)N.[O-]C(=O)C.[O-]C(=O)C,,-9.25298603
90,C-91,,RMIXHJPMNBXMBU-QIIXEHPYSA-N,C[C@@H]1C[C@H]2CC[C@H](O2)[C@H](C)C(=O)O[C@@H](C)C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)O[C@@H](C[C@@H]2O[C@H]([C@@H](C(=O)O[C@H](C[C@H]3O[C@@H]([C@H](C(=O)O1)C)CC3)C)C)CC2)C,,-9.24760863
91,C-92,,BQENDLAVTKRQMS-SBBGFIFASA-L,O=C(O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2C[C@](C)(CC1)C(=O)[O-])C)C)C)CCC(=O)[O-].[Na+].[Na+],,-9.244617084
92,C-93,,JPEOONAIYXUZTI-UHFFFAOYSA-L,CC[N+](CCN1c2ccccc2Sc2c1cccc2)(CCCCCC[N+](CCN1c2ccccc2Sc2c1cccc2)(CC)CC)CC.[Br-].[Br-],,-9.236306986
93,C-94,,SIZXNBZGPPPFHM-UHFFFAOYSA-L,O=C(Nc1c(I)cc(c(c1I)C(=O)[O-])I)CCCCC(=O)Nc1c(I)cc(c(c1I)C(=O)[O-])I.[Na+].[Na+],,-9.219554443
94,C-95,,UWEYRJFJVCLAGH-UHFFFAOYSA-N,FC12C(F)(C(F)(F)C(C(C2(F)F)(F)F)(F)F)C(F)(F)C(C(C1(F)F)(F)F)(F)F,,-9.193426391
95,C-96,,VHVPQPYKVGDNFY-UHFFFAOYSA-N,CCC(n1ncn(c1=O)c1ccc(cc1)N1CCN(CC1)c1ccc(cc1)OCC1COC(O1)(Cn1cncn1)c1ccc(cc1Cl)Cl)C,,-9.174733823
96,C-97,,DTMRKGRREZAYAP-UHFFFAOYSA-N,Clc1cc(c(c(c1Cl)Cl)Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,,-9.1599998
97,C-98,,JPOPEORRMSDUIP-UHFFFAOYSA-N,Clc1c(Cl)cc(c(c1c1c(Cl)c(Cl)cc(c1Cl)Cl)Cl)Cl,,-9.1499996
98,C-99,,UIFFUZWRFRDZJC-UHFFFAOYSA-N,CCCCCCC1C(=O)OC(C)C(C(=O)OC(C1OC(=O)CC(C)C)C)NC(=O)c1cccc(c1O)NC=O,,-9.117690251
99,C-100,,XZJJDJAXUSQABJ-UHFFFAOYSA-N,N(Cc1cccc2c1cccc2)CC1CCC(CC1)CNCc1cccc2c1cccc2.Cl.Cl,,-9.085477305
100,C-101,,ZPDJJEQOURSXEY-UHFFFAOYSA-N,N(Cc1ccc2c(c1)cccc2)CC1CCC(CC1)CNCc1ccc2c(c1)cccc2.Cl.Cl,,-9.085477305
101,C-102,,VGEBLZDDRJDVDP-AKAIEBDOSA-N,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2C(=O)/C(=C/NN4CCNCC4)/C(=C(c2c(c3C)O)O)NC(=O)/C(=C/C=C/[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,,-9.067175576
102,C-103,,GYFAGKUZYNFMBN-UHFFFAOYSA-N,c1cc2ccc3c4c2c(c1)c1cccc2c1c4c(cc3)cc2,,-9.0299997
103,C-104,,SJRYSBPDUOVODQ-UHFFFAOYSA-N,COc1ccc(cc1)C(=Cc1ccc(cc1)C(=N)N)c1ccc(cc1)OC.Cl,,-8.967076424
104,C-105,,KISDGNGREAJPQR-OICBGKIFSA-N,OC[C@H]1NC(=O)[C@H](C(C)C)N(c2c3c(C1)c[nH]c3c(cc2)[C@](CCC=C(C)C)(C=C)C)C,,-8.947378142
105,C-106,,RMIVRCBSQPCSCQ-BDANYOJNSA-N,COC(=O)[C@@]1(C)CC[C@]2([C@@H](C1)C1=CC(=O)[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C,,-8.94198208
106,C-107,,PYZHTHZEHQHHEN-UHFFFAOYSA-N,Clc1ccc(c(c1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl,,-8.9399996
107,C-108,,XHMIIRLZSKEDPY-UHFFFAOYSA-N,CC(=CCC(c1cccc2c1cccc2)(C(=O)N)CCN(CC=C(C)C)CC=C(C)C)C,,-8.935435009
108,C-109,,PBYJDHRFPFHVKZ-OQKDUQJOSA-N,CCCCCCOc1ccc(c2c1cccc2)C(=N)N(CCCC)CCCC.Cl,,-8.933846013
109,C-110,,FHKMETBBEHLTJX-OQKDUQJOSA-N,CCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCC)CCCCC.[Cl-],,-8.933846013
110,C-111,,NNKQQOOMOWTHNQ-OQKDUQJOSA-N,CCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCC)CCC.[Cl-],,-8.933846013
111,C-112,,ZDTAJBBRWBBHSZ-LVEZLNDCSA-N,OC(=O)/C=C/C(=O)O.OC(=O)/C=C/C(=O)O.COc1cc(cc(c1OC)OC)C(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,,-8.921848136
112,C-113,,DEZFNHCVIZBHBI-ZHACJKMWSA-N,O=C(c1c(O)c(Cc2c(O)c(C)c(c(c2O)C(=O)C)O)c(c2c1OC(C)(C)C=C2)O)/C=C/c1ccccc1,,-8.88924371
113,C-114,,CMEAGPOJDJVIAH-UHFFFAOYSA-N,OC(C1CCCC(N1)C(Cc1ccccc1)(Cc1ccccc1)O)(Cc1ccccc1)Cc1ccccc1,,-8.883036682
114,C-115,,OWUWCULIKLLRIP-UHFFFAOYSA-N,CCOc1nc(ncc1C(=O)OCC)N1CCN(CC1)CCC(c1ccccc1)(c1ccccc1)c1ccccc1.Cl,,-8.882266484
115,C-116,,JCZYXTVBWHAWLL-UHFFFAOYSA-N,Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC(CC1)n1c(=O)[nH]c2c1ccc(c2)Cl,,-8.87831222
116,C-117,,RJURFGZVJUQBHK-IIXSONLDSA-N,O=C1N[C@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)CC(=O)N([C@H](C(=O)O[C@@H]([C@@H]1NC(=O)c1c2nc3c(ccc(c3oc2c(c(=O)c1N)C)C)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C(=O)[C@H]2N(C(=O)[C@H](NC1=O)C(C)C)CCC2)C)C)C(C)C)C,,-8.874521256
117,C-118,,BQUFQLHGCASYAP-BTKVJIOYSA-N,CCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](C(C)C)C(C)C.[Cl-],,-8.808018239
118,C-119,,CSHWQDPOILHKBI-UHFFFAOYSA-N,c1cc2cccc3c2c(c1)c1cccc2c1c3ccc2,,-8.8000002
119,C-120,,UWWYQKBJJBZVHJ-UHFFFAOYSA-N,C(=C\C=[N+]1CCCC1)/C=C/N1CCCC1.C(=C\C=[N+]1CCCC1)/C=C/N1CCCC1.OC(=O)c1cc2ccccc2c(c1O)Cc1c(O)c(cc2c1cccc2)C(=O)O.O.O.O.O,,-8.778692543
