,Unnamed: 0,C_ID,Name,InChIKey,SMILES,CAS,LogS,smiles_canon
67,67.0,A-68,,CAQHPYSDQFDJAL-UHFFFAOYSA-N,O=C1C(=NO)c2c(cccc2)C=C1,,-2.937,O=C1C=Cc2ccccc2C1=NO
68,68.0,A-69,,CBFCDTFDPHXCNY-UHFFFAOYSA-N,C(CCCCCCCCCC)CCCCCCCCC,,-8.169989,CCCCCCCCCCCCCCCCCCCC
71,71.0,A-72,,CDOZDBSBBXSXLB-UHFFFAOYSA-N,N(C(CN1c2c(Sc3c1cccc3)cccc2)C)(CC)CC,,-2.145,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
72,72.0,A-73,,CDVNZMKTJIBBBV-UHFFFAOYSA-N,O=[N+]([O-])c1c(C)c(C(=O)O)cc([N+](=O)[O-])c1,,-2.6,Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-]
83,85.0,A-86,,CMSMOCZEIVJLDB-UHFFFAOYSA-N,ClCCN(CCCl)P1(=O)OCCCN1,,-0.815,O=P1(N(CCCl)CCCl)NCCCO1
84,86.0,A-87,,CMVQZRLQEOAYSW-UHFFFAOYSA-N,Clc1c(Cl)cccc1[N+](=O)[O-],,-3.48,O=[N+]([O-])c1cccc(Cl)c1Cl
85,87.0,A-88,,CNGDZXAWOIPFFX-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(C(=O)c2ccc(OC)cc2)c1,,-4.473,COc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1
91,93.0,A-94,,CTJMNBROBOZHAP-UHFFFAOYSA-N,Fc1c(N2CC(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,,-5.324,NC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1
93,95.0,A-96,,CVQODEWAPZVVBU-UHFFFAOYSA-N,O=C(Oc1cc(C)cc(C)c1)NC,,-2.58,CNC(=O)Oc1cc(C)cc(C)c1
94,96.0,A-97,,CVRALZAYCYJELZ-UHFFFAOYSA-N,Brc1c(Cl)cc(OP(=S)(OC)c2ccccc2)c(Cl)c1,,-5.66,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1
99,101.0,A-102,,CXWXQJXEFPUFDZ-UHFFFAOYSA-N,c12c(cccc1)CCCC2,,-4.37,c1ccc2c(c1)CCCC2
101,103.0,A-104,,CZGCEKJOLUNIFY-UHFFFAOYSA-N,Clc1ccc([N+](=O)[O-])cc1,,-2.92,O=[N+]([O-])c1ccc(Cl)cc1
102,104.0,A-105,,CZIHNRWJTSTCEX-UHFFFAOYSA-N,O=C(Nc1cc2c(c3c(cccc3)C2)cc1)C,,-4.235,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
103,105.0,A-106,,CZMRCDWAGMRECN-UGDNZRGBSA-N,O([C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@]1(CO)[C@@H](O)[C@H](O)[C@@H](CO)O1,,0.79,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
105,107.0,A-108,,DBABZHXKTCFAPX-UHFFFAOYSA-N,S(=O)(=O)(N(CCC)CCC)c1ccc(C(=O)O)cc1,,-4.021,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
107,109.0,A-110,,DCAYPVUWAIABOU-UHFFFAOYSA-N,C(CCCCCCCC)CCCCCCC,,-8.400008,CCCCCCCCCCCCCCCC
110,112.0,A-113,,DEKWZWCFHUABHE-UHFFFAOYSA-N,Clc1ccc(C(CC(=O)C)c2c(=O)oc3c(c2O)cccc3)cc1,,-5.84,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O
116,118.0,A-119,,DFXQXFGFOLXAPO-UHFFFAOYSA-N,Clc1c([N+](=O)[O-])cc(C(=O)O)cc1,,-2.66815,O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1
118,120.0,A-121,,DHMQDGOQFOQNFH-UHFFFAOYSA-N,O=C(O)CN,,0.521792,NCC(=O)O
120,122.0,A-123,,DJHHDLMTUOLVHY-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2Oc3c(Oc2c1Cl)cccc3,,-8.770062,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2
121,123.0,A-124,,DJPZSBANTAQNFN-UHFFFAOYSA-N,O=C(OC1C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)CC2)CC1)C,,-5.18,CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
125,127.0,A-128,,DLVAUVPZQHGFJC-UHFFFAOYSA-N,O=C(N(CC(=O)N)C)COC(=O)c1ccccc1,,-0.918,CN(CC(N)=O)C(=O)COC(=O)c1ccccc1
126,128.0,A-129,,DMDGGSIALPNSEE-UHFFFAOYSA-N,S(=O)(=O)(N)c1c(C(F)(F)F)cc2NCNS(=O)(=O)c2c1,,-3.02,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
131,133.0,A-134,,DOWJXOHBNXRUOD-UHFFFAOYSA-N,Cc1c2c(c3c(cc2)cccc3)ccc1,,-5.85,Cc1cccc2c1ccc1ccccc12
133,135.0,A-136,,DPSPPJIUMHPXMA-UHFFFAOYSA-N,Fc1cc2c(=O)c(C(=O)O)cn3C(C)CCc(c23)c1,,-3.7326,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23
137,139.0,A-140,,DRLFMBDRBRZALE-UHFFFAOYSA-N,O=C(NCCc1c2c([nH]c1)ccc(OC)c2)C,,-5.094,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
138,140.0,A-141,,DRUIESSIVFYOMK-UHFFFAOYSA-N,ClC(Cl)(Cl)C#N,,-2.17,N#CC(Cl)(Cl)Cl
139,141.0,A-142,,DSBMOVYUOIIPDK-UHFFFAOYSA-N,O=C1N(Cc2ccccc2)C(=O)NC1(C)C,,-1.795,CC1(C)NC(=O)N(Cc2ccccc2)C1=O
141,143.0,A-144,,DSRNRYQBBJQVCW-UHFFFAOYSA-N,Clc1c(OC)ccc(NC(=O)N(C)C)c1,,-2.56,COc1ccc(NC(=O)N(C)C)cc1Cl
147,149.0,A-150,,DWEPFAMAQPVFBH-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)CCC(O)c2c1,,-1.348,NS(=O)(=O)c1cc2c(s1)S(=O)CCC2O
148,150.0,A-151,,DXXVCXKMSWHGTF-UHFFFAOYSA-N,Clc1c(Oc2cc(OC)c([N+](=O)[O-])cc2)ccc(Cl)c1,,-5.906,COc1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]
152,154.0,A-155,,DZTHIGRZJZPRDV-UHFFFAOYSA-N,O=C(O)C(NC(=O)C)Cc1c2c([nH]c1)cccc2,,-2.31,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
153,155.0,A-156,,DZZWHBIBMUVIIW-DTORHVGOSA-N,Fc1c(N2C[C@@H](C)N[C@@H](C)C2)c(F)c2n(C3CC3)cc(C(=O)O)c(=O)c2c1N,,-3.3711,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1
155,157.0,A-158,,FCYQIDFMSYIAEB-UHFFFAOYSA-N,O(COc1c2OC3C(O)CCC4C53c2c(cc1)CC4N(C)CC5)C,,-1.959,COCOc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341
157,159.0,A-160,,FDPIMTJIUBPUKL-UHFFFAOYSA-N,O=C(CC)CC,,-0.28,CCC(=O)CC
158,160.0,A-161,,FEFQUIPMKBPKAR-UHFFFAOYSA-N,O=C(N1C(=O)CCCCC1)c1ccccc1,,-2.167,O=C1CCCCCN1C(=O)c1ccccc1
159,161.0,A-162,,FEMZVDSBIXDODB-UHFFFAOYSA-N,Fc1c(N2CC(N)(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,,-5.639,CC1(N)CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1
162,164.0,A-165,,FFGPTBGBLSHEPO-UHFFFAOYSA-N,O=C(N)N1c2c(cccc2)C=Cc2c1cccc2,,-3.07931,NC(=O)N1c2ccccc2C=Cc2ccccc21
164,166.0,A-167,,FHADSMKORVFYOS-UHFFFAOYSA-N,OC1CCCCCCC1,,-1.29,OC1CCCCCCC1
167,169.0,A-170,,FMINYZXVCTYSNY-UHFFFAOYSA-N,O=C(N(C)c1ccccc1)NC(C)(C)c1ccccc1,,-3.35,CN(C(=O)NC(C)(C)c1ccccc1)c1ccccc1
168,170.0,A-171,,FMKMKBLHMONXJM-UHFFFAOYSA-N,Nc1n(c2ccccc2)nc(C)c1,,-0.938,Cc1cc(N)n(-c2ccccc2)n1
170,172.0,A-173,,FNROXVCRPXYLRT-UHFFFAOYSA-N,O=C(N(C)C)CCCOC(=O)c1ccccc1,,-1.229,CN(C)C(=O)CCCOC(=O)c1ccccc1
173,175.0,A-176,,FOIBFBMSLDGNHL-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2c1Cl,,-12.790485,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
174,176.0,A-177,,FPQJEXTVQZHURJ-UHFFFAOYSA-N,O=C(NCCO)C(=O)NCCO,,-0.112,O=C(NCCO)C(=O)NCCO
176,178.0,A-179,,FRQUNVLMWIYOLV-UHFFFAOYSA-N,Clc1c(Cl)c(OC)ccc1Cl,,-4.29,COc1ccc(Cl)c(Cl)c1Cl
177,179.0,A-180,,FSCWZHGZWWDELK-UHFFFAOYSA-N,Clc1cc(Cl)cc(N2C(=O)C(C=C)(C)OC2=O)c1,,-4.93,C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O
178,180.0,A-181,,FSERHDPEOFYMMK-UHFFFAOYSA-N,Brc1cc2c(CN(C)C)c[nH]c2cc1,,-4.0552,CN(C)Cc1c[nH]c2ccc(Br)cc12
179,181.0,A-182,,FSVJFNAIGNNGKK-UHFFFAOYSA-N,O=C(N1CC(=O)N2C(c3c(cccc3)CC2)C1)C1CCCCC1,,-3.193,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
181,183.0,A-184,,FUKCEEDRHGCYHH-UHFFFAOYSA-N,O=C(NCCCC)COC(=O)c1ccccc1,,-2.759,CCCCNC(=O)COC(=O)c1ccccc1
183,185.0,A-186,,FUUHMSUPRUNWRQ-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(OC)c1Cl,,-5.26,COc1cc(Cl)c(Cl)c(Cl)c1Cl
184,186.0,A-187,,FVSKHRXBFJPNKK-UHFFFAOYSA-N,N#CCC,,0.28,CCC#N
186,188.0,A-189,,FZBXGZBXWFNCQY-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCCCCC1,,-2.542,O=C(OCC(=O)N1CCCCCC1)c1ccccc1
188,190.0,A-191,,GABQNAFEZZDSCM-UHFFFAOYSA-N,O=C(OCC=Cc1ccccc1)c1c(N)cccc1,,-6.042,Nc1ccccc1C(=O)OCC=Cc1ccccc1
190,192.0,A-193,,GBROPGWFBFCKAG-UHFFFAOYSA-N,c12c3c(c4c(cc3)cccc4)ccc1c1c(cc2)cccc1,,-7.869988,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21
193,195.0,A-196,,GCQZFVAHUZIDRP-UHFFFAOYSA-N,S(=O)(=O)(Nc1ccc(S(=O)(=O)N)cc1)c1ccc(N)cc1,,-2.759,Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1
198,200.0,A-201,,GFBKOADVXIDVBA-UHFFFAOYSA-N,S(=O)(=O)(NC(=O)OCCCC)N,,-1.038,CCCCOC(=O)NS(N)(=O)=O
200,202.0,A-203,,GILNGPKTMRSQDW-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCCC1,,-1.568,O=C(OCC(=O)N1CCCC1)c1ccccc1
201,203.0,A-204,,GIUGGRUEPHPVNR-UHFFFAOYSA-N,Clc1cc2Oc3c(Oc2cc1)cccc3,,-5.87,Clc1ccc2c(c1)Oc1ccccc1O2
204,206.0,A-207,,GLDOVTGHNKAZLK-UHFFFAOYSA-N,OCCCCCCCCCCCCCCCCCC,,-8.400008,CCCCCCCCCCCCCCCCCCO
208,210.0,A-211,,GOHBXWHNJHENRX-UHFFFAOYSA-N,Cc1c2c(c3c(c1)cccc3)ccc1c2cccc1,,-6.589999,Cc1cc2ccccc2c2ccc3ccccc3c12
211,213.0,A-214,,GRWAIJBHBCCLGS-UHFFFAOYSA-N,O=C(O)Cn1nnnc1,,0.083568,O=C(O)Cn1cnnn1
212,214.0,A-215,,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,Fc1c(N2CCN(C)CC2)c2OCC(C)n3c2c(c(=O)c(C(=O)O)c3)c1,,-1.2655,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
214,216.0,A-217,,GUGOEEXESWIERI-UHFFFAOYSA-N,OC(c1ccccc1)(c1ccccc1)C1CCN(CCCC(O)c2ccc(C(C)(C)C)cc2)CC1,,-4.871,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
217,219.0,A-220,,GWOFUCIGLDBNKM-UHFFFAOYSA-N,Clc1cc2nccc(Nc3c(C(=O)OCC(O)CO)cccc3)c2cc1,,-4.55319,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
222,224.0,A-225,,GYTMHWVFKHLDEA-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(C(=O)c2ccc(C)cc2)c1,,-4.449,Cc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1
231,233.0,A-234,,HHMCAJWVGYGUEF-UHFFFAOYSA-N,FC(F)(F)c1cc([N+](=O)[O-])c(Oc2ccc([N+](=O)[O-])cc2)cc1,,-5.22,O=[N+]([O-])c1ccc(Oc2ccc(C(F)(F)F)cc2[N+](=O)[O-])cc1
232,234.0,A-235,,HHOSMYBYIHNXNO-UHFFFAOYSA-N,C(CCC(C)C)(C)(C)C,,-5.05,CC(C)CCC(C)(C)C
233,235.0,A-236,,HJUFTIJOISQSKQ-UHFFFAOYSA-N,O=C(OCC)NCCOc1ccc(Oc2ccccc2)cc1,,-4.69948,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1
239,241.0,A-242,,HMIBKHHNXANVHR-UHFFFAOYSA-N,S(C(=O)N(C)C)CCCCOc1ccccc1,,-3.93,CN(C)C(=O)SCCCCOc1ccccc1
240,242.0,A-243,,HMSWAIKSFDFLKN-UHFFFAOYSA-N,C(CCCCCCCCCCCCC)CCCCCCCCCCCC,,-8.330032,CCCCCCCCCCCCCCCCCCCCCCCCCC
241,243.0,A-244,,HNDVDQJCIGZPNO-YFKPBYRVSA-N,O=C(O)[C@@H](N)Cc1[nH]cnc1,,-0.56543,NC(Cc1cnc[nH]1)C(=O)O
243,245.0,A-246,,HOQADATXFBOEGG-UHFFFAOYSA-N,S=P(OCC)(Oc1c(C(=O)OC(C)C)cccc1)NC(C)C,,-4.19,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
245,247.0,A-248,,HPQURZRDYMUHJI-UHFFFAOYSA-N,C(CCC1CCCC1)CC,,-6.08,CCCCCC1CCCC1
250,252.0,A-253,,HRVUKLBFRPWXPJ-UHFFFAOYSA-N,Clc1c(Cl)cc(Cl)c2Oc3c(Oc12)cccc3,,-7.596665,Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2
251,253.0,A-254,,HSFWRNGVRCDJHI-UHFFFAOYSA-N,C#C,,0.29,C#C
252,254.0,A-255,,HUPFGZXOMWLGNK-UHFFFAOYSA-N,Fc1c(c2cc(C(=O)O)c(O)cc2)ccc(F)c1,,-4.114,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
254,256.0,A-257,,HWHLPVGTWGOCJO-UHFFFAOYSA-N,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,,-1.815,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
257,259.0,A-260,,HYIMSNHJOBLJNT-UHFFFAOYSA-N,O=[N+]([O-])c1c(C2C(=C(C)NC(=C2C(=O)OC)C)C(=O)OC)cccc1,,-4.63622,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
259,261.0,A-262,,HYVMOJOTZLNZPF-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2C(=O)CCS(=O)(=O)c2c1,,-3.671,NS(=O)(=O)c1cc2c(s1)C(=O)CCS2(=O)=O
260,262.0,A-263,,HYWYRSMBCFDLJT-UHFFFAOYSA-N,S(=O)(=O)(Nc1c(Oc2ccccc2)cc([N+](=O)[O-])cc1)C,,-4.489,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
261,263.0,A-264,,IAIWVQXQOWNYOU-UHFFFAOYSA-N,O=[N+]([O-])c1oc(C=NNC(=O)N)cc1,,-2.92,NC(=O)NN=Cc1ccc([N+](=O)[O-])o1
264,266.0,A-267,,IDOWTHOLJBTAFI-UHFFFAOYSA-N,O=C(OC)Nc1cc(OC(=O)Nc2cc(C)ccc2)ccc1,,-4.789885,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
265,267.0,A-268,,IFEKQNAXDMZERW-UHFFFAOYSA-N,O=C(O)C(N)Cc1n[nH]c2c1cccc2,,-1.407,NC(Cc1n[nH]c2ccccc12)C(=O)O
267,269.0,A-270,,IGEMDIAQXSOCKX-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(S(=O)(=O)c2ccc(O)cc2)c1,,-3.027,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)cs1
268,270.0,A-271,,IIZIPXWXNPFUOU-UHFFFAOYSA-N,O=C(N(CCO)CC)COC(=O)c1ccccc1,,-1.367,CCN(CCO)C(=O)COC(=O)c1ccccc1
269,271.0,A-272,,IJFPVINAQGWBRJ-UHFFFAOYSA-N,O=C(OCCCCCC(C)C)c1c(C(=O)OCCCCCC(C)C)cccc1,,-6.639999,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C
271,273.0,A-274,,IKZBNCORGKYEDZ-UHFFFAOYSA-N,Fc1c(N2CC(N)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,,-5.269,NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1
273,275.0,A-276,,IMMLSOUHQHJKTL-UHFFFAOYSA-N,ClC1=CC=CCC(=C1NC1C(=CC=CC=C1)CC(=O)OCC(=O)NC(C(=O)OC)C)Cl,,-1.45272,COC(=O)C(C)NC(=O)COC(=O)CC1=CC=CC=CC1NC1=C(Cl)CC=CC=C1Cl
277,279.0,A-280,,IMWQMZMZPWIQBE-UHFFFAOYSA-N,O=C(NN=C(C=NNC(=O)N)C)N,,-1.948,CC(C=NNC(N)=O)=NNC(N)=O
279,281.0,A-282,,IOUNQDKNJZEDEP-UHFFFAOYSA-N,Clc1cc2oc(=O)n(CSP(=S)(OCC)OCC)c2cc1,,-5.23,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21
285,287.0,A-288,,ISEUFVQQFVOBCY-UHFFFAOYSA-N,O(C)c1nc(NC(C)C)nc(NC(C)C)n1,,-2.48,COc1nc(NC(C)C)nc(NC(C)C)n1
286,288.0,A-289,,ISMYLNZMKJLINI-UHFFFAOYSA-N,O=c1n(CC)c2c(n(CC)c3ncccc13)nccc2,,-2.86,CCN1C(=O)c2cccnc2N(CC)c2ncccc21
292,294.0,A-295,,IWYDHOAUDWTVEP-UHFFFAOYSA-N,O=C(O)C(O)c1ccccc1,,0.050732,O=C(O)C(O)c1ccccc1
294,296.0,A-297,,IZNWACYOILBFEG-UHFFFAOYSA-N,O=[N+]([O-])c1c(C)ccc2c1cccc2,,-4.272,Cc1ccc2ccccc2c1[N+](=O)[O-]
300,302.0,A-303,,JHBKHLUZVFWLAG-UHFFFAOYSA-N,Clc1c(Cl)cc(Cl)c(Cl)c1,,-5.512673,Clc1cc(Cl)c(Cl)cc1Cl
303,305.0,A-306,,JIEKMACRVQTPRC-UHFFFAOYSA-N,Clc1ccc(c2c(CC(=O)O)sc(c3ccccc3)n2)cc1,,-4.966,O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1
305,307.0,A-308,,JIVPVXMEBJLZRO-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc(C2(O)NC(=O)c3c2cccc3)cc1,,-3.38927,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
314,316.0,A-317,,JPLCQHHISLYGRA-UHFFFAOYSA-N,O=C(Nc1cnc(OC)cc1)C1CC1,,-2.138,COc1ccc(NC(=O)C2CC2)cn1
315,317.0,A-318,,JQUIGGQYRQVIIE-UHFFFAOYSA-N,O=C(N(C(=O)C)C)COC(=O)c1ccccc1,,-0.495,CC(=O)N(C)C(=O)COC(=O)c1ccccc1
318,320.0,A-321,,JTAGHJPZEDNHHA-UHFFFAOYSA-N,O=C(NCCc1cc(OC)c(OC)cc1)CNc1cc(C(=O)NC)ccc1,,-1.845,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1
