,smiles_canon,Solubility,occurence
40,CC12CCC3C(CC=C4CCCCC43C)C1CC(F)C2=O,-6.79588,1.0
41,CC1(N)CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-4.376,1.0
42,CN1C(=C(O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,-3.78351,1.0
43,CNC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.405,1.0
44,O=[N+]([O-])c1cc2c(cc1CO)OCO2,-3.064,1.0
45,NC(=O)Cc1ccc(O)cc1,-2.38601,1.0
46,CCc1occc(=O)c1O,-0.89378,1.0
47,O=c1ccc2nc3ccccc3sc-2c1,-3.716,1.0
48,COC(=O)c1ccc([N+](=O)[O-])cc1,-3.035,1.0
49,O=c1c2ccccc2sc2ccccc12,-5.54,1.0
50,Nc1ccc2ccc3cccc4ccc1c2c34,-0.61272,1.0
51,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,-1.297,1.0
52,CCOC1=C([N+](=O)[O-])CN(C(C)C)C1=O,-4.331,1.0
53,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)O,-2.1549,1.0
54,CC(C)c1ccccc1C(C)C,-6.352932503,1.0
55,Clc1cc2ccccc2c(Cl)c1Cl,-6.551656398,1.0
56,CCCCC(C)CCO,-2.208375999,1.0
57,CC(C)c1cccc2ccccc12,-5.49074994,1.0
58,CCCCC(O)CCC,-2.03192567,1.0
59,Cc1ccc(N(C)C)cc1,-2.318095456,1.0
60,CC(C)CC(C)N,-4.107510505,1.0
61,CC1COC(C)(C)O1,-0.019733625,1.0
62,C=C(C)C(C)(C)O,-0.306089117,1.0
63,CC1(C)OCCO1,0.513290902,1.0
64,CCC1CCC2(CCC(CC)O2)O1,-1.845522455,1.0
65,O=CC1CC=CCC1,-1.343053923,1.0
66,C=C(C)C1CCC(C)(O)C1C,-2.017963457,1.0
67,Cc1cc2cccc(O)c2nc1C,-1.31899701,1.0
68,C=C(C)C1CCC(C)(O)CC1,-1.845802492,1.0
69,CN(C)CCOCCN(C)C,0.795174862,1.0
70,Cc1ccc(O)c(C(C)C)c1,-1.95661967,1.0
71,CC(C)=C(C)C(=O)O,-0.367279836,1.0
72,CC(O)COC(C)(C)C,0.116814648,1.0
73,CC(C)C1=CC(=O)C(C)CC1,-1.844072282,1.0
74,O=C(O)C(Br)=CBr,-0.669489986,1.0
75,CCNC(=O)OCC,0.554506997,1.0
76,CCOc1ccccc1C=O,-2.112154111,1.0
77,CCCOC(=O)CCOCC,-4.0171689,1.0
78,C=CCN=C(N)S,-0.29427936,1.0
79,CC1(C)C2CCC1(C)C(O)C2N,-1.228579994,1.0
80,C=CCOc1ccccc1OC,0.784600399,1.0
81,CC(=O)OCCc1ccccc1,-2.231756387,1.0
82,COC(C)(C)CCO,-0.072543986,1.0
83,CCCCCCN1CCCC1=O,-1.101475196,1.0
84,CCCOC(=O)C(C)(C)O,-0.164917666,1.0
85,CCCOC(=O)NCCCN(C)C,0.679461387,1.0
86,CC(C)c1ccc(CCO)cc1,-2.261262869,1.0
87,COC(=O)c1sccc1N,-1.895394918,1.0
88,CCCC(C)OC(N)=O,-1.225773024,1.0
89,Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-],-2.919961217,1.0
90,C#CC#CC=C=CCCO,-1.890651109,1.0
91,CC(C)C1OC(=O)c2ccccc21,-2.256605379,1.0
92,CCOC1CCC(C(=O)OCCN(CC)CC)CC1,-2.714545858,1.0
93,CC1(O)CCC(C)(O)CC1,-0.614957447,1.0
94,OCC1CCC(CO)CC1,0.804762336,1.0
95,CCC(CCC(C)C)C(N)=O,-2.351520231,1.0
96,CC1(C)CC(C(=O)O)C(C)(C)N1,0.465364785,1.0
97,CCCOC(=O)C(C)OC(C)=O,-0.640075255,1.0
98,CCc1nc(N)c(C)c(CC)n1,-2.354792326,1.0
99,CCCCCOC(=O)C(C)(C)O,-1.241147862,1.0
100,COCC=CC#N,-0.26632293,1.0
101,O=C(O)C1C=Cc2ccccc2C1,-2.477620157,1.0
102,O=CCCCC=O,0.999479159,1.0
103,OCCOCc1ccccc1,-0.705264862,1.0
104,CCCCCN1C(=O)CCC1=O,-1.104625713,1.0
105,CNC(=O)C(=O)NC,0.54787683,1.0
106,CC(=O)OCCOc1ccccc1,-1.977025286,1.0
107,CC(C)OC(=O)C(C)(C)O,0.011173593,1.0
108,CCC(O)(CC)C(O)CC(C)C,-1.597819793,1.0
109,CC1=C(C(=O)O)CCCC1,-2.283363196,1.0
110,CC1(CO)C2CCC1C(=O)C2,-0.28502255,1.0
111,Cc1csc(=O)[nH]1,-0.659863402,1.0
112,CCOC(=O)c1ccc(=O)oc1,-0.997810167,1.0
113,CCC(=O)NC(=O)CC,-1.713188028,1.0
114,Oc1ccc2cccnc2c1,-2.503835563,1.0
115,OCCCCCCCCCCO,-2.095144434,1.0
116,N#CCC(=O)Nc1ccccc1Cl,-2.297961393,1.0
117,CCC(O)(CC)C(=O)O,-0.706126682,1.0
118,Oc1cccc2scnc12,0.764988331,1.0
119,Cc1cc(N)ccc1N,-0.086964574,1.0
120,CC(C)CCC(C)C(=O)O,-1.982934232,1.0
121,CC(C)CC(C)OCC(O)CO,-1.250080111,1.0
122,N#CCC(=O)N1CCCCC1,-0.915242924,1.0
123,Oc1ccc(O)c(Cl)c1,0.805153561,1.0
124,O=C(O)C(O)C1CCCCC1,-1.354108439,1.0
125,CCCCCCOC(=O)C(C)O,-1.137344141,1.0
126,CNC(=O)CC(C)=O,-0.805916,1.0
127,CC1CCCCC1(O)C(=O)O,-0.898176483,1.0
128,CCC(C(=O)O)C(C)(C)C(=O)O,-0.672846427,1.0
129,CCC(CC)(C(=O)NC)C(=O)NC,0.030910397,1.0
130,CCCCC(CC)(C(=O)O)C(=O)O,-0.797567588,1.0
131,Cc1cc(O)c(C(=O)O)cc1O,-2.362374012,1.0
132,CC1=CCS(=O)(=O)C1,-3.226296091,1.0
133,CC(C)(C)C(NC=O)C(=O)O,-1.900885787,1.0
134,CC(C)C(O)C(C)(C)C(=O)O,-0.897193583,1.0
135,COc1cc(CO)ccc1O,-1.886969877,1.0
136,CC(=O)Nc1cccc([N+](=O)[O-])c1,0.706710962,1.0
137,OCC(CO)N(Cc1ccccc1)Cc1ccccc1,-1.12179197,1.0
138,NC(S)=Nc1cccc([N+](=O)[O-])c1,-1.449830893,1.0
139,CCCCC1NC(=O)NC1=O,-1.494683221,1.0
140,CCCCC(=O)CC(=O)C(=O)O,-0.957229103,1.0
141,CC(=O)Nc1cccc(C(C)=O)c1,-1.623151267,1.0
142,O=C(O)C1=C(C(=O)O)CC=CC1,-1.00038759,1.0
143,NC(=O)C1OC(=O)c2ccccc21,-2.134422319,1.0
144,CN1Cc2ccccc2S1(=O)=O,-1.411738233,1.0
145,Cc1ccc(CC(=O)O)c(C)c1,-2.389324798,1.0
146,COC(=O)C(C#N)C(=O)CC(C)C,-2.72513008,1.0
147,CC(=O)Nc1ccc(C(C)=O)cc1,-1.623151267,1.0
148,NC(CC1CCC(O)CC1)C(=O)O,-0.35332054,1.0
149,CCC1NC(=O)C(CC)NC1=O,-1.712471132,1.0
150,CC(=O)NN=CC1CCC([N+](=O)[O-])O1,-2.595822371,1.0
151,CN1C(=O)NCc2c1ncn2C,-1.339765162,1.0
152,NNC(=O)c1ccc([N+](=O)[O-])s1,-1.971206245,1.0
153,Cc1ccccc1NC(N)=O,-1.818677253,1.0
154,CCC(N=C(N)N)C(=O)O,-0.860816964,1.0
155,Nc1ccc(Cl)cc1S(=O)(=O)O,-1.821745766,1.0
156,CCC1CN(CCC#N)C1C(=O)O,-0.981842441,1.0
157,CC(C)C(NCCC#N)C(=O)O,-1.123775102,1.0
158,CC(NCCC#N)C(=O)O,-0.006649379,1.0
159,CNC(=O)CCC(N)=O,-0.813414177,1.0
160,CCC(C)NC(N)=S,-1.13902592,1.0
161,CC1=C(C#N)C(=O)NC(C)(C)C1,-1.753001603,1.0
162,CCC(N)C(=O)NC(CC)C(=O)O,-1.296965237,1.0
163,Cc1cnc(N)[nH]c1=O,-1.495301453,1.0
164,O=C(O)C1=CCCCC1C(=O)O,-1.287883405,1.0
165,CC(C)(C(=O)O)C(C)(C)C(=O)O,-1.559806913,1.0
166,O=C1CC(=O)NC=N1,-1.65162686,1.0
167,Cc1ccc(S(=O)(=O)O)c(N)c1,-2.126201008,1.0
168,C=CCC(CNC)(C(=O)O)C(=O)O,-0.749861611,1.0
169,CC(OC(=S)N(C)C)C(=O)O,-0.947492539,1.0
170,N#CCC(=O)NCc1ccccc1,-2.064964371,1.0
171,Cc1c(N)cccc1S(=O)(=O)O,-1.739574664,1.0
172,C=CCC(C(=O)O)C(C)C(=O)O,-1.059891444,1.0
173,CC(CCCC(C)C(=O)O)C(=O)O,-0.932266161,1.0
174,Cn1cc(C(=O)O)n(C)c1=O,-0.970797704,1.0
175,NNC(=O)c1cccs1,-0.754898501,1.0
176,CCC(C)=C(CC(=O)O)C(=O)O,-2.332892716,1.0
177,CCOC(=O)CNC(C)=CC(C)=O,-0.586446642,1.0
178,CNc1ccc(S(=O)(=O)O)cc1,0.180989297,1.0
179,NC(N)=NCCCCCC(=O)O,-2.387339686,1.0
180,O=C(O)Cc1cccc(C(=O)O)c1,-1.778537118,1.0
181,O=C(O)Cc1ccc(C(=O)O)cc1,-1.255658373,1.0
182,CC(N=C(N)N)C(=O)O,-0.198637216,1.0
183,CCNC(=O)CCC(N)C(=O)O,0.202996645,1.0
184,CN1CCC23C4C=CC(O)C2OC2C(OCCN5CCOCC5)CCC(CC41)C23,-1.299401589,1.0
185,O=S(=O)(O)c1cnc[nH]1,0.130357655,1.0
186,O=c1cc[nH]c2cccnc12,-2.244153818,1.0
187,Cc1ccnc(C(=O)O)c1C(=O)O,-1.328619413,1.0
188,O=C(O)c1ccccc1S(=O)(=O)O,0.393231812,1.0
189,CC(=O)c1cccc(NC(N)=O)c1,-1.874306371,1.0
190,NC(=O)CCCC(N)=O,-0.263185824,1.0
191,Nc1cccc2ccc(S(=O)(=O)O)cc12,-1.682277378,1.0
192,NC(=O)C=CC(N)=O,-2.5132176,1.0
193,NC(=O)CCCCC(N)=O,-1.515422222,1.0
194,Cc1cc(N)nc(=O)[nH]1,-1.495301453,1.0
195,O=C(O)C1=CC=C(C(=O)O)CC1,-3.501421002,1.0
196,O=COCc1ccco1,-0.98347823,1.0
197,NS(=O)(=O)c1ccc(=O)[nH]c1,-1.843058278,1.0
198,Cc1[nH]c(=O)[nH]c(=O)c1CC(=O)O,-2.310929214,1.0
199,Nc1ccc(S(N)(=O)=O)cn1,-1.217333513,1.0
200,CCC(S(=O)(=O)CC)S(=O)(=O)CC,-1.460916864,1.0
201,Nc1ccc(CS(=O)(=O)O)cc1,-2.28780173,1.0
202,Nc1nc(=O)n(-c2ccccc2)[nH]1,-2.467805355,1.0
203,NC1CCC(S(=O)(=O)NC2CNC3CCCCC3N2)CC1,-4.602546129,1.0
204,CC(C)C(C(=O)O)C(C)C(=O)O,-1.434868177,1.0
205,O=c1cc[nH]c(O)c1,-1.249834042,1.0
206,ON=C1CCCCCC1=NO,-1.425015124,1.0
207,Nc1ccc(O)c(S(=O)(=O)O)c1,-2.450823375,1.0
208,NC(=O)NCCCCCC(=O)O,-2.161866905,1.0
209,Cc1cnc(=O)[nH]c1N,-0.559542349,1.0
210,CCc1cnc(=O)[nH]c1N,-1.019662779,1.0
211,CC(C)C(NCCC(=O)O)C(=O)O,-0.896732844,1.0
212,Nc1[nH]c(=O)ncc1CC(=O)O,-1.700616425,1.0
213,CCCCC([NH2+]C)C(=O)[O-],-0.153366445,1.0
214,CC(C)CNCC(C)C,-1.769007871,1.0
215,CCN(C)CC,1.059632954,1.0
216,CCCCNC,1.059632954,1.0
217,CC(N)C(C)(C)C,0.98608848,1.0
218,CCN(CCO)CCO,0.875528381,1.0
219,NCCCNC1CCCCC1,-1.654312434,1.0
220,O=C1c2cc(S(=O)(=O)O)ccc2C(=O)c2c1cccc2S(=O)(=O)O,0.4338,1.0
221,C1=CCCCCCC1,-3.770336047,1.0
222,O=C(Cl)Cl,-1.136676971,1.0
223,C=C1CCC=C(C)CCC2C1CC2(C)C,-6.610549667,1.0
224,Cc1ccccc1I,-3.958318956,1.0
225,Cc1ccc(I)cc1,-3.958318956,1.0
226,Clc1nc(Cl)nc(Cl)n1,-0.568636585,1.0
227,CC(C)(C)c1cccc(C(C)(C)C)n1,-4.431718034,1.0
228,CC(C)(C)c1ccccn1,-1.744685027,1.0
229,Oc1ccccc1Br,-0.899632125,1.0
230,CCCCCCCCCC=O,-3.555181167,1.0
231,COc1ccc(I)cc1,-3.679086587,1.0
232,CC(C)(C)c1ccncc1,-1.267623252,1.0
233,CC(C)(C)c1ccnc(C(C)(C)C)c1,-3.74519285,1.0
234,Oc1ccccc1F,-0.473671607,1.0
235,N=C(S)C(=N)S,-2.512874488,1.0
236,O=C1C=CCCC1,-0.424145402,1.0
237,O=[N+]([O-])c1ccc(I)cc1,-3.949055269,1.0
238,c1ccc2c(c1)ccc1cccnc12,-3.007876228,1.0
239,CC(C)c1ccc(O)cc1,-1.620540901,1.0
240,CC(C)(C)Cc1ccc(O)cc1,-2.990188164,1.0
241,Cc1ccc(C#N)cc1,-2.510033722,1.0
242,O=C(C(=O)c1ccccc1)c1ccccc1,-4.053185878,1.0
243,Nc1cccc(I)c1,-3.240123144,1.0
244,Oc1ccccc1I,-0.92445619,1.0
245,c1ccc(CNC23OC4C5C6CC(C7C6C4C72)C53)cc1,-3.39852141,1.0
246,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,-3.520631984,1.0
247,O=[N+]([O-])c1ccc(CBr)cc1,-3.698970004,1.0
248,CCOC(=O)C1CCCCC1=O,-2.117036616,1.0
249,CC(=O)c1ccccc1O,-1.301029996,1.0
250,Cn1cnc2cncnc21,0.641992559,1.0
251,O=C(OO)c1cccc(Cl)c1,-2.147055154,1.0
252,CC1CCC(C)C1C(=O)O,-1.9327854,1.0
253,O=C(O)Cc1ccc2ccccc2c1,-3.026964951,1.0
254,CCCCN(CCCC)P(=O)(N(CCCC)CCCC)N(CCCC)CCCC,-3.857016714,1.0
255,NNC(=O)c1ccccc1,-0.67779787,1.0
256,O=C(O)CCOc1ccc(Cl)cc1Cl,-2.82712362,1.0
257,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,-3.885939948,1.0
258,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,-4.699357479,1.0
259,CN(C)c1nc(N)nc(N)n1,-2.108832711,1.0
260,Cc1ccc2cccc(O)c2n1,-1.609067643,1.0
261,Cc1c(O)c(=O)ccn1C,-0.94693266,1.0
262,O=C(NO)C1CCCCC1,-0.793836745,1.0
263,Cn1c(=O)cc[nH]c1=O,0.200263251,1.0
264,O=c1ccc2ccc(O)cc2o1,-2.416462428,1.0
265,CNc1nc(NC)c2nc(NC)nc(NC)c2n1,-3.552976173,1.0
266,O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,-3.666736779,1.0
267,Oc1ccc(-c2ccc(O)cc2)cc1,-3.64675371,1.0
268,CNc1nc(N)nc(N)n1,-1.013047996,1.0
269,CN(O)C(=O)c1ccc([N+](=O)[O-])cc1,-2.869371221,1.0
270,Cc1ccccc1C=CC(=O)O,-3.494015375,1.0
271,Cc1ccc(C=CC(=O)O)cc1,-6.477624959,1.0
272,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2ccccc2)c([N+](=O)[O-])c1,-5.441793649,1.0
273,O=c1[nH]ccc2nccnc12,-1.187079378,1.0
274,CN(C)c1ncc2[nH]cnc2n1,-2.690228018,1.0
275,O=S(=O)(O)CCNC1CCCCC1,-0.301226976,1.0
276,O=C(O)CSC(c1ccccc1)(c1ccccc1)c1ccccc1,-4.301600445,1.0
277,COc1cc(C=CC(=O)O)cc(OC)c1O,-2.83214685,1.0
278,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,-3.220878683,1.0
279,Cn1nnnc1N,-0.717299018,1.0
280,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,-3.036212025,1.0
281,NNC(=O)c1ccc(Cl)cc1,-1.939274932,1.0
282,O=C(O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,-4.493304834,1.0
283,Nc1cnc2ncnc(N)c2n1,-3.589791611,1.0
284,O=c1cc[nH]c2nccnc12,-1.552821729,1.0
285,O=c1cnc2[nH]c(=O)[nH]c(=O)c2[nH]1,-3.125235403,1.0
286,O=C(NO)c1ccc([N+](=O)[O-])cc1,-1.939294695,1.0
287,Nc1cnc2c(N)ncnc2n1,-2.908897671,1.0
288,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,-5.301417471,1.0
289,O=C(O)C1CCCC(C(=O)O)C1,-0.887680363,1.0
290,CC(C(=O)O)S(=O)(=O)c1ccccc1,-0.886859818,1.0
291,CC(C)CC(NC(=O)CN)C(=O)O,-0.43332245,1.0
292,CSc1nc2ncncc2[nH]1,-2.033690362,1.0
293,Sc1ncnc2nc[nH]c12,-2.784417571,1.0
294,O=C(O)c1cc(O)cc(O)c1,-0.180462554,1.0
295,Cc1ccc([As](=O)(O)O)cc1,-1.366107503,1.0
296,O=C(O)CCCCCC(C(=O)O)(c1ccccc1)c1ccccc1,-3.496706166,1.0
297,O=C(O)c1ccc(Cl)c(N=Nc2ccc(O)cc2)c1,-4.080248361,1.0
298,CSc1ncc2[nH]cnc2n1,-2.562635301,1.0
299,O=C(O)COCCOCC(=O)O,0.431358888,1.0
300,O=[As](O)(O)c1ccc2ccccc2c1,-2.810509961,1.0
301,O=C(O)CCCCCCC(C(=O)O)(c1ccccc1)c1ccccc1,-3.920290484,1.0
302,Nc1cnc2c(N)nc(N)nc2n1,-2.902032308,1.0
303,O=[As](O)(O)c1cccc2ccccc12,-2.509479966,1.0
304,CNC1(C)CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-5.861371893,1.0
305,NN(CC(=O)O)CC(=O)O,-1.72345274,1.0
306,CNc1nc2ncncc2[nH]1,-1.826893762,1.0
307,O=C(O)c1cccc(N=Nc2ccc(O)cc2)c1,-3.850208995,1.0
308,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,-5.327999806,1.0
309,Nc1nc(O)c2ncn(C3C=CC(CO)C3)c2n1,-2.29972691,1.0
310,O=C(O)CCCCC(C(=O)O)(c1ccccc1)c1ccccc1,-3.430204377,1.0
311,Nc1nc2ncnc(N)c2nc1N,-3.345295296,1.0
312,O=C(O)COC1COc2ccccc2OCCOCCOc2ccccc2OC1,-5.096284393,1.0
313,O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,-4.670717374,1.0
314,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,-1.346786848,1.0
315,O=C(O)CCC(C(=O)O)(c1ccccc1)c1ccccc1,0.942004562,1.0
316,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,-3.432973625,1.0
317,O=C(O)c1ccc(N=Nc2ccc(O)cc2)cc1,-4.379913727,1.0
318,Cc1cc(O)c(C(C)C)cc1C1(c2cc(C(C)C)c(O)cc2C)OS(=O)(=O)c2ccccc21,-3.627550188,1.0
319,CC(C1CC1C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-4.928496765,1.0
320,Nc1cc(=O)[nH]c(=O)[nH]1,-2.327912393,1.0
321,Nc1nc2ncncc2[nH]1,-2.431775345,1.0
322,Cc1ccccc1[As](=O)(O)O,-1.224000742,1.0
323,Nc1nc(N)c2nc(N)c(N)nc2n1,-3.397788629,1.0
324,O=C(O)c1ccc(N=Nc2ccc(O)cc2)cc1Cl,-2.619808118,1.0
325,O=c1cnc2cnc(=O)[nH]c2[nH]1,-2.361471235,1.0
326,COc1ccc2nccc(C(O)C3CC4CCN3CC4C(=O)O)c2c1,-2.030736731,1.0
327,NC(Cc1ccc(O)cc1)C(=O)NCC(=O)O,-1.098266548,1.0
328,CC(C)C(N)C(=O)NC(C(=O)O)C(C)C,-0.405597435,1.0
329,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,-1.8745318,1.0
330,NCC(=O)NC(Cc1ccc(O)cc1)C(=O)O,-0.73258156,1.0
331,COc1cc(C=CC(=O)C=C(O)C=Cc2ccc(O)c(OC)c2)ccc1O,-5.81811509,1.0
332,CN1CC(O)C2=CC(=NNC(N)=O)C(=O)C=C21,-2.674365046,1.0
333,Cc1cccc([As](=O)(O)O)c1,-0.988237478,1.0
334,O=c1c2ncn(COCCO)c2nc2[nH]ccn12,-2.512861642,1.0
335,CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,0.007275243,1.0
336,O=C(O)CNCC1(O)OCC(O)C(O)C1O,0.654250784,1.0
337,OCCN(CCO)c1nc(N2CCCCC2)nc2c(N(CCO)CCO)nc(N3CCCCC3)nc12,-5.221533019,1.0
338,CC(C)(C)c1cn2c(=O)c3ncn(COCCO)c3nc2[nH]1,-2.511449265,1.0
339,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,-5.204119983,1.0
340,Cc1c[nH]c2ncnc(=O)c-2n1,-1.649295757,1.0
341,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,-0.544936838,1.0
342,O=c1c2ncn(COCCO)c2nc2[nH]c(-c3ccc4ccccc4c3)cn12,-3.779892205,1.0
343,Cc1cnc2c(=O)ncnc-2[nH]1,-1.562145581,1.0
344,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,-0.754495308,1.0
345,O=c1c2ncn(COCCO)c2nc2[nH]c(-c3ccccc3)cn12,-3.623416458,1.0
346,Nc1nc(N)c2[nH]c(N)nc2n1,-1.518926981,1.0
347,CC(C)CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,-2.070925507,1.0
348,CC(C)CC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,-1.576770913,1.0
349,NC(Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(=O)O,-1.470256093,1.0
350,NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,-0.846563228,1.0
351,O=c1[nH]c(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,-2.455843778,1.0
352,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,-1.511969672,1.0
353,CNC1(C)CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.6931916,1.0
354,NCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.88562725,1.0
355,NCC(=O)NCC(=O)NCC(=O)NCC(=O)O,-1.671169315,1.0
356,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,-4.919128172,1.0
357,O=c1c(-c2ccc(O)cc2)coc2c(C3OC(CO)C(O)C(O)C3O)c(O)ccc12,-2.161612136,1.0
358,NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O,-2.305745352,1.0
359,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,-3.484674168,1.0
360,NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O,-2.778545555,1.0
361,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)c1ccccc1,-4.866474542,1.0
362,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,-5.013413044,1.0
363,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O,-5.705117162,1.0
